document,page_count,text_length,citation_count,ocr_seconds,extract_seconds,input_tokens,output_tokens,total_tokens,cost_usd
13335_Efficient_semantic_uncer,30,98873,73,0.61,31.56,50234,30835,81069,0.058811
1_perspective_PLOSWater_preview,11,45060,67,0.99,24.9,23312,24070,47382,0.041933
23812_Unmasking_Puppeteers_Lev,16,54301,72,1.76,24.52,31182,25505,56687,0.046053
24047_Fourier_Token_Merging_Un,22,68399,32,1.43,10.86,18687,9746,28433,0.019291
2606.11534v1_Urban_Heat_MiniCubes_An_AI-Ready_dataset_for_urban_heat_rese,53,107869,104,7.39,65.69,47267,42327,89594,0.075307
2606.11558v1_Measurable_matchings_in_unbalanced_graphs,68,233789,156,1.63,57.24,30398,34212,64610,0.058918
2606.11565v1,27,56658,40,0.54,14.04,13680,10885,24565,0.019748
2606.12165v1_Pricing_mobility_services_under_decision-dependent_demand_un,42,102725,36,0.88,12.88,21202,10667,31869,0.021301
2606.12167v1_Shared_Infrastructure_Investment_and_Pricing_Stackelberg_Equ,99,147799,75,1.12,43.66,14938,15802,30740,0.027438
2606.12170v1_A_Stochastic_Framework_for_the_Spherical_Jeans_Equation_Moti,24,45045,35,0.48,38.21,17765,5569,23334,0.012795
2606.12264v1_The_Confined_beta-Soft_rotor_model_in_rare-earth_nuclei,51,80625,78,0.53,35.05,52560,30515,83075,0.058913
2606.12308v1_Laser-Liquid_Interaction_in_Laser-Induced_Forward_Transfer_(,22,73163,76,0.3,24.75,26354,25251,51605,0.044465
2606.12619v1_Constraining_the_Low-p_T_ηπ^0_Ratio_for_Direct-Photon_Analys,10,38034,32,0.25,17.1,18126,6523,24649,0.014316
2606.12627v1_Two_pathways_to_diapycnal_mixing_in_strongly_stratified_flow,35,97365,52,0.6,19.82,10920,11958,22878,0.020667
2606.12634v1_Keep_Policy_Gradient_in_Charge_Sibling-Guided_Credit_Distill,13,46208,28,0.29,12.76,16228,4819,21047,0.011286
"2606.12652v1_A_mean_field_approach_to_multiple,_long-delayed_systems",6,27443,31,0.18,13.53,6670,5947,12617,0.010588
AndyW_Dissertation_Limit,50,68507,271,0.3,116.38,59350,65640,124990,0.113297
BD_money_in_bank_preprint,17,80365,85,0.37,59.37,12760,17073,29833,0.028799
Cannabis_in_the_Capital__Manuscript,23,40519,52,0.25,38.71,11666,10458,22124,0.018604
Domestic Politics in 2025_ South Korea's Polarized Democracy After Martial Law,21,50485,24,0.31,13.05,3651,3739,7390,0.006521
Fingerprint_Ridges,34,98423,38,1.34,16.36,14356,13415,27771,0.023711
GenAI_CrimEvidence,14,29963,33,0.21,31.13,10417,6009,16426,0.011618
Gunshot_Detection_Literature_Review_Expanded,2,4345,12,0.01,23.2,3107,1925,5032,0.003664
PredictionMarkets,30,80792,48,0.44,12.12,4217,4864,9081,0.00835
Preprint - The AI Criminal Mastermind - Paper,22,86046,86,0.44,33.0,25326,23017,48343,0.040857
Reimagining-justice-peacemaking-criminology-and-alternative-justice-systems-in-the-Kenyan-context,14,47412,32,0.22,50.71,4120,4671,8791,0.008037
affiliation_errors_openalex,20,61837,34,0.3,15.69,8358,9781,18139,0.016761
algorithms-19-00509,30,90753,52,0.42,16.63,20189,15716,35905,0.028621
hall_next_research,10,54282,84,0.33,58.99,24550,22672,47222,0.040146
journal.pone.0325168,53,148270,116,0.86,58.55,38350,39685,78035,0.069115
journal.pone.0334595,27,91496,43,0.51,17.24,18016,15684,33700,0.02803
journal.pone.0345850,33,114159,90,0.68,33.69,29901,31161,61062,0.054217
journal.pone.0349889,22,94469,91,0.52,42.59,33996,33258,67254,0.058386
journal.pone.0352338,17,67985,43,0.31,19.8,18892,17823,36715,0.031457
preprint-61779311834433-61779357373981,41,106335,42,0.46,17.36,10418,10098,20516,0.017751
s12889-026-27943-8_reference,23,50760,34,0.25,15.15,30007,6399,36406,0.0171
