document,page_count,text_length,citation_count,ocr_seconds,extract_seconds,input_tokens,output_tokens,total_tokens,cost_usd
13335_Efficient_semantic_uncer,30,98861,73,0.61,35.99,34827,30796,65623,0.054901
1_perspective_PLOSWater_preview,11,45053,67,2.03,28.09,20991,23166,44157,0.039997
23812_Unmasking_Puppeteers_Lev,16,54301,72,3.42,26.32,27690,25302,52992,0.044875
24047_Fourier_Token_Merging_Un,22,68399,32,4.51,12.61,12242,9720,21962,0.01764
2606.11534v1_Urban_Heat_MiniCubes_An_AI-Ready_dataset_for_urban_heat_rese,53,107840,103,17.53,77.16,37154,39074,76228,0.0679
2606.11558v1_Measurable_matchings_in_unbalanced_graphs,68,233781,156,2.13,66.31,27693,34280,61973,0.058343
2606.11565v1,27,56658,40,1.16,13.02,12128,10733,22861,0.019131
2606.12165v1_Pricing_mobility_services_under_decision-dependent_demand_un,42,102718,36,1.98,11.06,7407,8483,15890,0.014576
2606.12167v1_Shared_Infrastructure_Investment_and_Pricing_Stackelberg_Equ,99,147797,75,1.63,61.57,13384,15394,28778,0.026437
2606.12170v1_A_Stochastic_Framework_for_the_Spherical_Jeans_Equation_Moti,24,45045,35,0.51,57.22,17287,5569,22856,0.012675
2606.12264v1_The_Confined_beta-Soft_rotor_model_in_rare-earth_nuclei,51,80625,78,1.37,39.03,47015,29586,76601,0.056133
2606.12308v1_Laser-Liquid_Interaction_in_Laser-Induced_Forward_Transfer_(,22,73163,76,0.44,24.43,23638,24959,48597,0.043348
2606.12619v1_Constraining_the_Low-p_T_ηπ^0_Ratio_for_Direct-Photon_Analys,10,38034,32,0.46,18.8,17663,6611,24274,0.014332
2606.12627v1_Two_pathways_to_diapycnal_mixing_in_strongly_stratified_flow,35,97365,52,0.86,20.88,9756,11991,21747,0.020425
2606.12634v1_Keep_Policy_Gradient_in_Charge_Sibling-Guided_Credit_Distill,13,46208,23,0.42,9.22,9197,5457,14654,0.010485
"2606.12652v1_A_mean_field_approach_to_multiple,_long-delayed_systems",6,27443,33,0.57,22.11,5894,6214,12108,0.010795
AndyW_Dissertation_Limit,50,68507,271,0.5,185.47,53142,65001,118143,0.110787
BD_money_in_bank_preprint,17,80365,85,0.44,97.71,11596,16665,28261,0.027896
Cannabis_in_the_Capital__Manuscript,23,40519,52,0.46,57.13,10502,10924,21426,0.019012
Domestic Politics in 2025_ South Korea's Polarized Democracy After Martial Law,21,50485,24,0.24,30.58,3263,3583,6846,0.00619
Fingerprint_Ridges,34,98422,38,2.03,24.21,12802,12797,25599,0.022396
GenAI_CrimEvidence,14,29961,33,0.26,42.04,9253,6439,15692,0.011972
Gunshot_Detection_Literature_Review_Expanded,2,4345,12,0.01,30.35,2719,1925,4644,0.003567
PredictionMarkets,30,80792,40,0.49,10.99,3829,4882,8711,0.00828
Preprint - The AI Criminal Mastermind - Paper,22,86045,86,0.72,37.02,22608,22199,44807,0.038951
Reimagining-justice-peacemaking-criminology-and-alternative-justice-systems-in-the-Kenyan-context,14,47410,32,0.31,79.37,3730,4671,8401,0.007939
affiliation_errors_openalex,20,61834,34,0.49,14.46,7578,8932,16510,0.015292
algorithms-19-00509,30,90751,52,0.82,17.54,17861,15863,33724,0.02826
hall_next_research,10,54278,84,0.44,92.76,19289,20214,39503,0.035143
journal.pone.0325168,53,148270,116,2.5,87.49,34470,36755,71225,0.06375
journal.pone.0334595,27,91492,42,0.95,15.15,16076,14726,30802,0.026108
journal.pone.0345850,33,114157,90,1.39,44.36,26794,30891,57685,0.053035
journal.pone.0349889,22,94466,91,0.92,72.06,30498,32476,62974,0.056338
journal.pone.0352338,17,67980,43,0.73,18.97,16944,17623,34567,0.030671
preprint-61779311834433-61779357373981,41,106335,42,0.49,42.95,9254,9687,18941,0.016844
s12889-026-27943-8_reference,23,50760,34,0.4,31.33,29156,6258,35414,0.016676
