document,citation_count,verified,not_found,minor_error,hallucination,uncertain,possible_hallucination,elapsed_seconds,avg_seconds_per_citation,max_seconds_per_citation,p95_seconds_per_citation,total_citation_latency_seconds,input_tokens,output_tokens,total_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
13335_Efficient_semantic_uncer,73,68,0,4,1,0,0,447.08,60.05,171.36,138.27,4383.74,822739,31433,854172,36,0.7585,0.36,1.118501
1_perspective_PLOSWater_preview,67,55,0,10,2,0,0,290.54,117.31,178.85,165.51,7859.61,1465684,60571,1526255,62,1.371832,0.62,1.991832
23812_Unmasking_Puppeteers_Lev,72,69,0,3,0,0,0,295.01,43.77,194.3,104.77,3151.33,167714,6927,174641,10,0.156957,0.1,0.256957
24047_Fourier_Token_Merging_Un,32,22,0,4,6,0,0,250.92,83.1,191.76,164.16,2659.24,314371,11834,326205,14,0.289032,0.14,0.429032
2606.11534v1_Urban_Heat_MiniCubes_An_AI-Ready_dataset_for_urban_heat_rese,104,100,0,4,0,0,0,512.2,79.87,175.99,168.96,8306.89,953705,38977,992682,52,0.890674,0.52,1.410676
2606.11558v1_Measurable_matchings_in_unbalanced_graphs,156,151,2,3,0,0,0,440.09,55.69,184.33,147.4,8687.16,1040320,39721,1080041,56,0.958985,0.56,1.518984
2606.11565v1,38,21,1,5,11,0,0,294.26,85.08,178.3,145.39,3233.17,791711,32225,823936,65,0.738797,0.65,1.388795
2606.12165v1_Pricing_mobility_services_under_decision-dependent_demand_un,36,35,0,1,0,0,0,155.29,47.2,147.49,130.8,1699.14,205625,8231,213856,10,0.191258,0.1,0.291259
2606.12167v1_Shared_Infrastructure_Investment_and_Pricing_Stackelberg_Equ,75,70,0,5,0,0,0,248.6,51.56,124.33,115.75,3866.88,681788,26157,707945,32,0.629047,0.32,0.949047
2606.12170v1_A_Stochastic_Framework_for_the_Spherical_Jeans_Equation_Moti,35,31,0,0,4,0,0,178.29,42.75,154.05,124.39,1496.1,377286,15004,392290,36,0.350483,0.36,0.710482
2606.12264v1_The_Confined_beta-Soft_rotor_model_in_rare-earth_nuclei,75,68,1,4,2,0,0,173.97,42.69,154.28,123.17,3201.7,451852,20643,472495,33,0.431782,0.33,0.761782
2606.12308v1_Laser-Liquid_Interaction_in_Laser-Induced_Forward_Transfer_(,76,67,0,3,6,0,0,170.87,43.39,102.54,91.93,3297.34,323936,13428,337364,15,0.30338,0.15,0.453378
2606.12619v1_Constraining_the_Low-p_T_ηπ^0_Ratio_for_Direct-Photon_Analys,32,23,1,8,0,0,0,137.36,45.57,136.41,123.79,1458.24,229817,11241,241058,19,0.222949,0.19,0.412948
2606.12627v1_Two_pathways_to_diapycnal_mixing_in_strongly_stratified_flow,52,49,0,1,2,0,0,151.18,38.42,134.05,120.71,1997.88,156019,7631,163650,12,0.151354,0.12,0.271355
2606.12634v1_Keep_Policy_Gradient_in_Charge_Sibling-Guided_Credit_Distill,23,13,0,3,7,0,0,239.68,73.12,167.42,126.33,1681.78,133380,5698,139078,6,0.125677,0.06,0.185676
"2606.12652v1_A_mean_field_approach_to_multiple,_long-delayed_systems",31,23,0,5,3,0,0,119.65,68.26,107.98,91.87,2116.18,830462,35616,866078,62,0.78312,0.62,1.40312
AndyW_Dissertation_Limit,271,251,0,20,0,0,0,530.3,58.85,178.7,142.09,15947.84,1934639,75228,2009867,108,1.789504,1.08,2.869508
BD_money_in_bank_preprint,85,77,2,5,1,0,0,317.39,70.27,190.49,165.67,5972.97,789509,31911,821420,58,0.73573,0.58,1.315731
Cannabis_in_the_Capital__Manuscript,52,42,4,6,0,0,0,210.42,82.59,179.76,176.03,4294.71,540758,22076,562834,32,0.504907,0.32,0.824909
Domestic Politics in 2025_ South Korea's Polarized Democracy After Martial Law,24,17,4,1,2,0,0,243.25,119.53,232.69,189.62,2868.61,529532,20685,550217,61,0.490232,0.61,1.100231
Fingerprint_Ridges,38,35,0,3,0,0,0,212.55,97.71,170.73,149.93,3713.12,318968,12129,331097,13,0.293806,0.13,0.423807
GenAI_CrimEvidence,33,31,0,2,0,0,0,215.84,62.44,110.8,103.93,2060.66,373174,16209,389383,14,0.352821,0.14,0.492821
Gunshot_Detection_Literature_Review_Expanded,12,0,6,1,5,0,0,147.24,102.41,145.63,132.63,1228.88,435256,17679,452935,50,0.405998,0.5,0.905999
PredictionMarkets,49,0,49,0,0,0,0,714.92,75.56,459.14,114.99,3702.52,1091624,40796,1132420,18,1.0023,0.18,1.182301
Preprint - The AI Criminal Mastermind - Paper,85,68,1,16,0,0,0,607.5,74.75,211.45,182.51,6354.01,1415339,58097,1473436,72,1.322939,0.72,2.042937
Reimagining-justice-peacemaking-criminology-and-alternative-justice-systems-in-the-Kenyan-context,32,25,0,7,0,0,0,315.73,78.25,187.95,185.9,2503.99,573291,24584,597875,38,0.540597,0.38,0.920598
affiliation_errors_openalex,34,31,0,3,0,0,0,75.88,30.25,70.88,70.02,1028.62,115177,4300,119477,4,0.105733,0.04,0.145733
algorithms-19-00509,52,52,0,0,0,0,0,156.93,30.72,139.69,78.57,1597.64,190245,7769,198014,7,0.177645,0.07,0.247645
hall_next_research,84,37,9,20,18,0,0,510.22,117.22,267.87,218.66,9846.45,1990039,84660,2074699,206,1.873496,2.06,3.933499
journal.pone.0325168,115,110,0,4,1,0,0,371.81,71.33,182.66,161.28,8202.95,778965,30928,809893,48,0.723402,0.48,1.203403
journal.pone.0334595,43,40,0,3,0,0,0,141.02,57.47,129.59,115.25,2471.13,222655,9206,231861,10,0.208419,0.1,0.308419
journal.pone.0345850,91,68,4,7,12,0,0,341.53,96.67,237.48,215.87,8796.91,1554138,61655,1615793,132,1.44305,1.32,2.763052
journal.pone.0349889,91,83,0,8,0,0,0,356.85,81.98,220.85,216.85,7460.1,722888,31484,754372,31,0.683846,0.31,0.993847
journal.pone.0352338,43,39,0,3,1,0,0,251.36,113.27,216.92,214.39,4870.54,493712,23015,516727,28,0.473849,0.28,0.753849
preprint-61779311834433-61779357373981,42,40,0,2,0,0,0,255.54,153.5,217.4,214.44,6446.82,858279,32836,891115,38,0.791473,0.38,1.171476
s12889-026-27943-8_reference,34,26,0,4,4,0,0,233.76,195.13,221.93,212.88,6634.29,890770,37671,928441,57,0.837598,0.57,1.407596
