document,citation_count,verified,not_found,minor_error,hallucination,uncertain,possible_hallucination,elapsed_seconds,avg_seconds_per_citation,max_seconds_per_citation,p95_seconds_per_citation,total_citation_latency_seconds,input_tokens,output_tokens,total_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
13335_Efficient_semantic_uncer,73,73,0,0,0,0,0,753.77,97.07,327.21,270.86,7086.09,1041778,69932,1111710,33,0.023868,0.165,0.188868
1_perspective_PLOSWater_preview,67,63,0,2,2,0,0,587.03,171.3,437.0,328.08,11476.92,1560812,223330,1784142,48,0.055914,0.24,0.295914
23812_Unmasking_Puppeteers_Lev,72,66,0,6,0,0,0,736.36,90.83,329.42,215.91,6539.95,379661,32648,412309,12,0.009915,0.06,0.069915
24047_Fourier_Token_Merging_Un,32,24,0,2,6,0,0,639.16,180.05,620.06,285.94,5761.73,497314,59369,556683,16,0.03672,0.085,0.12172
2606.11534v1_Urban_Heat_MiniCubes_An_AI-Ready_dataset_for_urban_heat_rese,104,100,2,2,0,0,0,823.12,141.74,421.89,270.03,14740.58,1074343,84570,1158913,34,0.026732,0.17,0.196732
2606.11558v1_Measurable_matchings_in_unbalanced_graphs,156,147,4,4,1,0,0,742.58,68.2,256.38,194.81,10639.38,945455,68673,1014128,30,0.022544,0.15,0.172544
2606.11565v1,38,24,2,4,8,0,0,589.87,120.35,487.14,282.19,4573.25,810422,96122,906544,27,0.0542,0.15,0.2042
2606.12165v1_Pricing_mobility_services_under_decision-dependent_demand_un,36,33,0,2,1,0,0,521.92,82.09,478.9,116.13,2955.18,189736,16108,205844,8,0.032565,0.055,0.087565
2606.12167v1_Shared_Infrastructure_Investment_and_Pricing_Stackelberg_Equ,75,69,0,6,0,0,0,453.13,108.91,308.69,248.23,8168.12,754622,95882,850504,24,0.024979,0.12,0.144979
2606.12170v1_A_Stochastic_Framework_for_the_Spherical_Jeans_Equation_Moti,35,30,3,2,0,0,0,354.96,212.31,342.18,269.65,7430.69,348509,24171,372680,11,0.008117,0.055,0.063117
2606.12264v1_The_Confined_beta-Soft_rotor_model_in_rare-earth_nuclei,76,71,1,3,1,0,0,452.66,39.87,401.54,112.08,3030.17,447518,92429,539947,14,0.020859,0.07,0.090859
2606.12308v1_Laser-Liquid_Interaction_in_Laser-Induced_Forward_Transfer_(,76,68,0,2,6,0,0,423.85,64.75,303.14,136.54,4921.08,428293,83658,511951,13,0.019146,0.065,0.084146
2606.12619v1_Constraining_the_Low-p_T_ηπ^0_Ratio_for_Direct-Photon_Analys,32,30,2,0,0,0,0,505.15,109.31,431.75,203.54,3497.84,412072,34544,446616,13,0.01061,0.065,0.07561
2606.12627v1_Two_pathways_to_diapycnal_mixing_in_strongly_stratified_flow,52,51,1,0,0,0,0,211.77,66.17,163.6,135.53,3440.7,156964,8649,165613,5,0.003275,0.025,0.028275
2606.12634v1_Keep_Policy_Gradient_in_Charge_Sibling-Guided_Credit_Distill,23,15,0,1,7,0,0,406.03,90.64,210.62,160.99,2084.74,157222,21489,178711,5,0.005461,0.025,0.030461
"2606.12652v1_A_mean_field_approach_to_multiple,_long-delayed_systems",31,27,1,1,2,0,0,430.17,104.22,354.24,185.36,3230.81,846458,105336,951794,27,0.027643,0.135,0.162643
AndyW_Dissertation_Limit,271,249,5,17,0,0,0,1784.74,196.79,953.76,528.22,53329.11,2204336,133735,2338071,99,0.702605,0.76,1.462605
BD_money_in_bank_preprint,85,81,3,1,0,0,0,1341.62,143.72,969.74,671.39,12215.98,1006938,104987,1111925,33,0.056796,0.175,0.231797
Cannabis_in_the_Capital__Manuscript,52,43,3,6,0,0,0,1238.78,225.67,998.63,836.3,11735.02,629012,48962,677974,26,0.122038,0.18,0.302038
Domestic Politics in 2025_ South Korea's Polarized Democracy After Martial Law,24,18,6,0,0,0,0,626.87,237.67,452.35,402.6,5703.97,409245,22682,431927,13,0.008562,0.065,0.073562
Fingerprint_Ridges,38,38,0,0,0,0,0,1357.44,494.72,985.97,827.12,18799.18,285908,20801,306709,9,0.006825,0.045,0.051825
GenAI_CrimEvidence,33,33,0,0,0,0,0,1155.81,408.35,737.05,710.6,13475.47,567167,46353,613520,18,0.014403,0.09,0.104403
Gunshot_Detection_Literature_Review_Expanded,12,0,10,2,0,0,0,545.98,326.6,434.7,424.52,3919.22,377448,34400,411848,12,0.010187,0.06,0.070187
PredictionMarkets,49,0,49,0,0,0,0,1145.81,200.1,387.66,314.85,9804.7,1530068,205927,1735995,49,0.052605,0.245,0.297605
Preprint - The AI Criminal Mastermind - Paper,85,82,3,0,0,0,0,1626.03,199.71,469.88,337.44,16975.17,1726358,158750,1885108,55,0.046838,0.275,0.321838
Reimagining-justice-peacemaking-criminology-and-alternative-justice-systems-in-the-Kenyan-context,32,30,1,1,0,0,0,926.93,245.99,571.27,445.22,7871.53,661835,81887,743722,21,0.021531,0.105,0.126531
affiliation_errors_openalex,34,32,1,1,0,0,0,612.62,150.15,582.75,437.33,5105.22,127656,15287,142943,4,0.004067,0.02,0.024067
algorithms-19-00509,52,51,0,1,0,0,0,812.98,195.47,578.76,434.42,10164.4,517495,59175,576670,16,0.01601,0.08,0.09601
hall_next_research,84,50,23,4,7,0,0,1099.32,178.89,430.24,318.5,15026.59,1957038,231964,2189002,62,0.061938,0.31,0.371938
journal.pone.0325168,115,109,0,6,0,0,0,867.54,133.83,426.18,287.01,15390.47,887611,85663,973274,28,0.024773,0.14,0.164773
journal.pone.0334595,43,39,1,3,0,0,0,565.5,135.3,335.66,260.47,5818.06,237271,24261,261532,7,0.006852,0.035,0.041852
