document,page_count,text_length,citation_count,ocr_seconds,extract_seconds,input_tokens,output_tokens,total_tokens,cost_usd
13335_Efficient_semantic_uncer,30,98861,73,0.53,32.66,33837,29995,63832,0.053452
1_perspective_PLOSWater_preview,11,45053,67,2.72,22.5,20451,22870,43321,0.039418
23812_Unmasking_Puppeteers_Lev,16,54301,72,1.04,25.74,26880,25451,52331,0.044896
24047_Fourier_Token_Merging_Un,22,68399,32,3.45,11.18,11882,9711,21593,0.017537
2606.11534v1_Urban_Heat_MiniCubes_An_AI-Ready_dataset_for_urban_heat_rese,53,107840,104,16.48,48.43,36283,39248,75531,0.067943
2606.11558v1_Measurable_matchings_in_unbalanced_graphs,68,233781,156,3.41,81.5,27063,34550,61613,0.058591
2606.11565v1,27,56658,40,0.32,14.67,11768,10763,22531,0.019086
2606.12165v1_Pricing_mobility_services_under_decision-dependent_demand_un,42,102718,36,0.77,9.89,7227,8483,15710,0.014531
2606.12167v1_Shared_Infrastructure_Investment_and_Pricing_Stackelberg_Equ,99,147797,75,1.07,54.32,13024,15760,28784,0.026896
2606.12170v1_A_Stochastic_Framework_for_the_Spherical_Jeans_Equation_Moti,24,45045,35,0.43,54.28,17197,5569,22766,0.012653
2606.12264v1_The_Confined_beta-Soft_rotor_model_in_rare-earth_nuclei,51,80625,78,0.88,33.01,48258,30016,78274,0.057089
2606.12308v1_Laser-Liquid_Interaction_in_Laser-Induced_Forward_Transfer_(,22,73163,76,0.33,23.87,23008,25276,48284,0.043666
2606.12619v1_Constraining_the_Low-p_T_ηπ^0_Ratio_for_Direct-Photon_Analys,10,38034,32,0.38,15.92,17573,6496,24069,0.014137
2606.12627v1_Two_pathways_to_diapycnal_mixing_in_strongly_stratified_flow,35,97365,52,0.9,24.04,9486,11769,21255,0.020025
2606.12634v1_Keep_Policy_Gradient_in_Charge_Sibling-Guided_Credit_Distill,13,46208,23,0.7,9.23,8927,5242,14169,0.010095
"2606.12652v1_A_mean_field_approach_to_multiple,_long-delayed_systems",6,27443,31,0.27,29.21,5714,5730,11444,0.010024
AndyW_Dissertation_Limit,50,68507,271,0.38,137.44,51702,65408,117110,0.111037
BD_money_in_bank_preprint,17,80365,85,0.7,57.88,11326,16710,28036,0.027897
Cannabis_in_the_Capital__Manuscript,23,40519,52,0.58,46.29,10232,10937,21169,0.018964
Domestic Politics in 2025_ South Korea's Polarized Democracy After Martial Law,21,50485,24,0.3,25.73,3173,3577,6750,0.006159
Fingerprint_Ridges,34,98422,38,1.54,16.95,12442,12599,25041,0.022009
GenAI_CrimEvidence,14,29961,33,0.26,26.25,8983,6247,15230,0.011616
Gunshot_Detection_Literature_Review_Expanded,2,4345,12,0.02,4.68,2629,1865,4494,0.003455
PredictionMarkets,30,80792,34,0.45,10.68,3739,4886,8625,0.008264
Preprint - The AI Criminal Mastermind - Paper,22,86045,86,0.61,26.27,21978,22321,44299,0.038976
Reimagining-justice-peacemaking-criminology-and-alternative-justice-systems-in-the-Kenyan-context,14,47410,32,0.44,65.95,3640,4671,8311,0.007916
affiliation_errors_openalex,20,61834,34,0.69,12.45,7398,8924,16322,0.015236
algorithms-19-00509,30,90751,52,1.15,13.88,17321,15724,33045,0.027916
hall_next_research,10,54278,84,0.62,53.46,18749,20050,38799,0.034762
journal.pone.0325168,53,148270,116,2.3,54.42,33570,37644,71214,0.064858
journal.pone.0334595,27,91492,43,0.96,14.59,15626,15136,30762,0.026611
journal.pone.0345850,33,114157,90,1.12,32.36,26074,30508,56582,0.052281
journal.pone.0349889,22,94466,91,1.24,29.96,29688,31462,61150,0.054615
journal.pone.0352338,17,67980,43,1.25,17.41,16494,17671,34165,0.03063
preprint-61779311834433-61779357373981,41,106335,42,1.43,16.24,8984,9681,18665,0.016767
s12889-026-27943-8_reference,23,50760,34,0.86,14.48,28976,6303,35279,0.016698
