raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed
"Ahern, J., C. Margerison-Zilko, A. Hubbard, and S. Galea (2013). Alcohol outlets and binge drinking in urban neighborhoods: The implications of nonlinearity for intervention and policy. American Journal of Public Health 103 (4), 81-87.",journal_article,Alcohol outlets and binge drinking in urban neighborhoods: The implications of nonlinearity for intervention and policy,"Ahern, J. | C. Margerison-Zilko | A. Hubbard | S. Galea",2013,American Journal of Public Health,103,4,81-87,,,,,,
"Allison, P. D. (1990). Change scores as dependent variables in regression analysis. Sociological Methodology 20, 93-114.",journal_article,Change scores as dependent variables in regression analysis,"Allison, P. D.",1990,Sociological Methodology,20,,93-114,,,,,,
"Andresen, M. A. (2011). The ambient population and crime analysis. The Professional Geographer 63 (2), 193-212.",journal_article,The ambient population and crime analysis,"Andresen, M. A.",2011,The Professional Geographer,63,2,193-212,,,,,,
"Andresen, M. A. and N. Malleson (2010). Testing the stability of crime patterns: Implications for theory and policy. Journal of Research in Crime and Delinquency 48 (1), 58-82.",journal_article,Testing the stability of crime patterns: Implications for theory and policy,"Andresen, M. A. | N. Malleson",2010,Journal of Research in Crime and Delinquency,48,1,58-82,,,,,,
"Anselin, L. (1988). Spatial Econometrics: Methods and Models. Dordrecht, The Netherlands: Kluwer Academic Publishers.",book,Spatial Econometrics: Methods and Models,"Anselin, L.",1988,,,,,,,,Kluwer Academic Publishers,,
"Anselin, L. (1995). Local indicators of spatial association- LISA. Geographical Analysis 27 (2), 93-115.",journal_article,Local indicators of spatial association- LISA,"Anselin, L.",1995,Geographical Analysis,27,2,93-115,,,,,,
"Anselin, L. and D. Arribas-Bel (2013). Spatial fixed effects and spatial dependence in a single cross-section. Papers in Regional Science 92 (1), 3-17.",journal_article,Spatial fixed effects and spatial dependence in a single cross-section,"Anselin, L. | D. Arribas-Bel",2013,Papers in Regional Science,92,1,3-17,,,,,,
"Anselin, L. and W. K. Cho (2002). Spatial effects and ecological inference. Political Analysis 10 (1), 276-297.",journal_article,Spatial effects and ecological inference,"Anselin, L. | W. K. Cho",2002,Political Analysis,10,1,276-297,,,,,,
"Bellair, P. E. and C. R. Browning (2010). Contemporary disorganization research: An assessment and further test of the systemic model of neighborhood crime. Journal of Research in Crime and Delinquency 47 (4), 496-521.",journal_article,Contemporary disorganization research: An assessment and further test of the systemic model of neighborhood crime,"Bellair, P. E. | C. R. Browning",2010,Journal of Research in Crime and Delinquency,47,4,496-521,,,,,,
"Berk, R. A. (2005). Knowing when to fold ’em: An essay on evaluating the impact of CEASEFIRE, COMPSTAT, and EXILE*. Criminology & Public Policy 4 (3), 451-466.",journal_article,"Knowing when to fold ’em: An essay on evaluating the impact of CEASEFIRE, COMPSTAT, and EXILE*","Berk, R. A.",2005,Criminology & Public Policy,4,3,451-466,,,,,,
"Berk, R. A. and J. MacDonald (2008). Overdispersion and poisson regression. Journal of Quantitative Criminology 24 (3), 269-284.",journal_article,Overdispersion and poisson regression,"Berk, R. A. | J. MacDonald",2008,Journal of Quantitative Criminology,24,3,269-284,,,,,,
"Bernasco, W. and R. L. Block (2009). Where offenders choose to attack: A discrete choice model of robberies in Chicago. Criminology 47 (1), 93-130.",journal_article,Where offenders choose to attack: A discrete choice model of robberies in Chicago,"Bernasco, W. | R. L. Block",2009,Criminology,47,1,93-130,,,,,,
"Bernasco, W. and R. L. Block (2010). Robberies in Chicago: A block-level analysis of the influence of crime generators, crime attractors, and offender anchor points. Journal of Research in Crime and Delinquency 48 (1), 33-57.",journal_article,"Robberies in Chicago: A block-level analysis of the influence of crime generators, crime attractors, and offender anchor points","Bernasco, W. | R. L. Block",2010,Journal of Research in Crime and Delinquency,48,1,33-57,,,,,,
"Beyerlein, K. and J. R. Hipp (2005). Social capital, too much of a good thing? American religous traditions and community crime. Social Forces 84 (2), 995-1013.",journal_article,"Social capital, too much of a good thing? American religous traditions and community crime","Beyerlein, K. | J. R. Hipp",2005,Social Forces,84,2,995-1013,,,,,,
"Blalock, Jr., H. M. (1972). Causal inferences in nonexperimental research. New York: W. W. Norton & Company, Inc.",book,Causal inferences in nonexperimental research,"Blalock, Jr., H. M.",1972,,,,,,0393006425,,"W. W. Norton & Company, Inc.",,
"Block, R. L. and C. R. Block (1995). Space, place, and crime: Hot spot areas and hot places of liquor-related crime. Crime Prevention Studies 4, 145-184.",journal_article,"Space, place, and crime: Hot spot areas and hot places of liquor-related crime","Block, R. L. | C. R. Block",1995,Crime Prevention Studies,4,,145-184,,,,,,
