document,citation_count,verified,not_found,minor_error,hallucination,uncertain,possible_hallucination,elapsed_seconds,avg_seconds_per_citation,max_seconds_per_citation,p95_seconds_per_citation,total_citation_latency_seconds,input_tokens,output_tokens,total_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
13335_Efficient_semantic_uncer,73,71,0,1,1,0,0,291.59,37.5,110.27,83.69,2737.47,915599,13326,928925,29,0.327336,0.145,0.472335
1_perspective_PLOSWater_preview,67,57,0,8,2,0,0,198.43,67.01,121.02,106.67,4489.81,1498428,23310,1521738,46,0.540005,0.23,0.770004
23812_Unmasking_Puppeteers_Lev,72,67,0,5,0,0,0,244.06,34.2,127.75,62.25,2462.35,157685,2311,159996,5,0.047058,0.025,0.072058
24047_Fourier_Token_Merging_Un,32,23,1,2,6,0,0,194.43,60.48,137.73,96.37,1935.38,378440,5764,384204,12,0.136327,0.06,0.196327
2606.11534v1_Urban_Heat_MiniCubes_An_AI-Ready_dataset_for_urban_heat_rese,104,101,0,3,0,0,0,346.12,56.47,128.98,105.48,5873.25,1043294,15514,1058808,33,0.362918,0.165,0.527918
2606.11558v1_Measurable_matchings_in_unbalanced_graphs,156,146,2,7,1,0,0,324.45,36.04,101.89,76.78,5622.89,819385,11518,830903,26,0.279659,0.13,0.40966
2606.11565v1,38,19,0,4,15,0,0,222.25,55.48,101.98,78.74,2108.3,829864,12360,842224,26,0.285167,0.13,0.415165
2606.12165v1_Pricing_mobility_services_under_decision-dependent_demand_un,36,33,0,2,1,0,0,102.95,40.35,77.29,74.49,1452.59,191248,2544,193792,6,0.064187,0.03,0.094187
2606.12167v1_Shared_Infrastructure_Investment_and_Pricing_Stackelberg_Equ,75,64,0,10,1,0,0,253.43,51.25,94.43,86.62,3843.66,755671,10070,765741,24,0.281744,0.12,0.401745
2606.12170v1_A_Stochastic_Framework_for_the_Spherical_Jeans_Equation_Moti,35,30,1,2,2,0,0,151.87,49.96,93.23,84.7,1748.77,347483,4913,352396,11,0.127221,0.055,0.182219
2606.12264v1_The_Confined_beta-Soft_rotor_model_in_rare-earth_nuclei,76,68,1,6,1,0,0,202.05,53.86,167.19,95.85,4093.1,446433,6587,453020,14,0.14286,0.07,0.212859
2606.12308v1_Laser-Liquid_Interaction_in_Laser-Induced_Forward_Transfer_(,76,67,0,3,6,0,0,180.53,45.51,94.72,83.77,3458.41,429357,7363,436720,13,0.150199,0.065,0.215199
2606.12619v1_Constraining_the_Low-p_T_ηπ^0_Ratio_for_Direct-Photon_Analys,32,31,1,0,0,0,0,124.87,55.41,108.64,106.34,1773.28,411372,7039,418411,13,0.13877,0.065,0.20377
2606.12627v1_Two_pathways_to_diapycnal_mixing_in_strongly_stratified_flow,52,50,1,1,0,0,0,108.03,26.17,80.82,68.9,1360.95,157745,2467,160212,5,0.055581,0.025,0.080581
2606.12634v1_Keep_Policy_Gradient_in_Charge_Sibling-Guided_Credit_Distill,23,15,0,2,6,0,0,229.12,57.04,123.23,74.86,1311.91,157288,2291,159579,5,0.050982,0.025,0.075982
"2606.12652v1_A_mean_field_approach_to_multiple,_long-delayed_systems",31,26,0,3,2,0,0,71.2,30.56,45.64,44.37,947.36,849193,13762,862955,27,0.315558,0.135,0.450558
AndyW_Dissertation_Limit,271,251,0,20,0,0,0,462.69,48.16,235.85,95.47,13051.88,2206551,30150,2236701,70,0.756884,0.35,1.106885
BD_money_in_bank_preprint,85,78,0,4,3,0,0,306.78,55.3,129.15,116.55,4700.47,1009070,13466,1022536,32,0.346254,0.16,0.506255
Cannabis_in_the_Capital__Manuscript,52,42,2,8,0,0,0,209.91,59.12,119.46,104.51,3074.46,635466,9644,645110,20,0.21128,0.1,0.31128
Domestic Politics in 2025_ South Korea's Polarized Democracy After Martial Law,24,17,0,1,6,0,0,158.81,76.52,113.68,113.15,1836.58,410084,5946,416030,13,0.123936,0.065,0.188936
Fingerprint_Ridges,38,38,0,0,0,0,0,154.63,40.85,92.14,78.36,1552.27,286297,3895,290192,9,0.102364,0.045,0.147364
GenAI_CrimEvidence,33,33,0,0,0,0,0,234.75,63.25,116.06,90.05,2087.28,567878,6618,574496,18,0.204859,0.09,0.294859
Gunshot_Detection_Literature_Review_Expanded,12,0,3,1,8,0,0,156.15,97.92,120.79,117.49,1175.07,375891,5060,380951,12,0.121747,0.06,0.181748
PredictionMarkets,49,0,49,0,0,0,0,222.27,38.54,47.94,45.8,1888.25,1537752,38346,1576098,48,0.541974,0.24,0.781974
Preprint - The AI Criminal Mastermind - Paper,85,76,2,5,2,0,0,563.63,61.79,138.05,120.3,5252.34,1694217,21389,1715606,54,0.552421,0.27,0.82242
Reimagining-justice-peacemaking-criminology-and-alternative-justice-systems-in-the-Kenyan-context,32,25,0,7,0,0,0,219.88,53.99,74.97,73.15,1727.78,663624,9108,672732,21,0.216739,0.105,0.32174
affiliation_errors_openalex,34,31,1,2,0,0,0,127.11,42.49,105.86,100.17,1444.72,127604,1795,129399,4,0.047117,0.02,0.067117
algorithms-19-00509,52,51,0,1,0,0,0,176.4,44.87,80.5,79.27,2333.38,516824,8154,524978,16,0.188589,0.08,0.268589
hall_next_research,84,37,6,17,24,0,0,526.27,91.15,246.99,184.95,7656.24,1926176,28518,1954694,60,0.661002,0.3,0.961002
journal.pone.0325168,115,106,0,9,0,0,0,437.62,64.15,201.34,156.64,7377.75,822899,12259,835158,24,0.290567,0.12,0.410567
journal.pone.0334595,43,40,0,3,0,0,0,282.78,67.86,130.98,126.8,2918.13,254350,3758,258108,8,0.098329,0.04,0.138329
journal.pone.0345850,91,69,0,5,17,0,0,376.48,115.99,242.71,189.34,10555.22,1328105,22877,1350982,39,0.491716,0.195,0.686716
journal.pone.0349889,91,82,0,9,0,0,0,238.84,60.99,127.81,105.65,5550.41,824466,11521,835987,26,0.293876,0.13,0.423877
journal.pone.0352338,43,40,1,2,0,0,0,198.78,83.21,126.32,122.46,3578.24,577132,10119,587251,18,0.210798,0.09,0.300797
preprint-61779311834433-61779357373981,42,42,0,0,0,0,0,139.26,49.92,90.24,80.73,2096.64,348115,4634,352749,11,0.12283,0.055,0.17783
s12889-026-27943-8_reference,34,27,0,4,3,0,0,106.91,74.39,94.6,91.13,2529.2,979850,16051,995901,31,0.360637,0.155,0.515636
