document,citation_count,verified,not_found,minor_error,hallucination,uncertain,possible_hallucination,elapsed_seconds,avg_seconds_per_citation,max_seconds_per_citation,p95_seconds_per_citation,total_citation_latency_seconds,input_tokens,output_tokens,total_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
13335_Efficient_semantic_uncer,73,70,0,2,1,0,0,385.58,55.05,154.34,126.7,4018.6,968834,26764,995598,30,0.56471,0.15,0.714714
1_perspective_PLOSWater_preview,67,58,0,7,2,0,0,253.01,103.42,161.29,146.77,6929.11,1797549,60494,1858043,55,1.080256,0.275,1.355262
23812_Unmasking_Puppeteers_Lev,72,69,0,3,0,0,0,253.43,39.59,165.58,90.32,2850.58,186243,5914,192157,6,0.110863,0.03,0.140863
24047_Fourier_Token_Merging_Un,32,23,0,3,6,0,0,219.55,74.3,166.9,149.45,2377.45,383913,12352,396265,12,0.229013,0.06,0.289013
2606.11534v1_Urban_Heat_MiniCubes_An_AI-Ready_dataset_for_urban_heat_rese,104,100,1,3,0,0,0,428.41,70.58,155.66,151.1,7340.8,1039326,34994,1074320,33,0.624643,0.165,0.789648
2606.11558v1_Measurable_matchings_in_unbalanced_graphs,156,151,0,4,1,0,0,342.33,42.12,188.47,108.36,6570.17,999074,30625,1029699,31,0.591412,0.155,0.746414
2606.11565v1,38,19,0,4,15,0,0,244.73,73.38,121.77,121.75,2788.45,912121,32633,944754,25,0.553956,0.125,0.678959
2606.12165v1_Pricing_mobility_services_under_decision-dependent_demand_un,36,35,0,0,1,0,0,128.25,49.22,117.95,107.62,1771.98,219270,6613,225883,7,0.129474,0.035,0.164475
2606.12167v1_Shared_Infrastructure_Investment_and_Pricing_Stackelberg_Equ,75,71,0,4,0,0,0,233.81,45.38,175.07,105.62,3403.73,816016,27486,843502,25,0.490464,0.125,0.615468
2606.12170v1_A_Stochastic_Framework_for_the_Spherical_Jeans_Equation_Moti,35,31,0,0,4,0,0,108.89,60.08,107.39,105.04,2102.73,342228,10916,353144,11,0.203864,0.055,0.258864
2606.12264v1_The_Confined_beta-Soft_rotor_model_in_rare-earth_nuclei,75,69,1,3,2,0,0,146.07,39.17,128.45,103.03,2937.92,500646,16889,517535,16,0.30099,0.08,0.380991
2606.12308v1_Laser-Liquid_Interaction_in_Laser-Induced_Forward_Transfer_(,76,67,0,3,6,0,0,148.22,42.85,106.73,84.19,3256.4,463929,16797,480726,14,0.282356,0.07,0.352357
2606.12619v1_Constraining_the_Low-p_T_ηπ^0_Ratio_for_Direct-Photon_Analys,32,22,1,7,2,0,0,104.96,62.39,103.86,97.12,1996.51,219633,8865,228498,7,0.136412,0.035,0.171412
2606.12627v1_Two_pathways_to_diapycnal_mixing_in_strongly_stratified_flow,52,50,0,1,1,0,0,127.3,26.09,104.14,92.35,1356.55,170726,8487,179213,5,0.110825,0.025,0.135824
2606.12634v1_Keep_Policy_Gradient_in_Charge_Sibling-Guided_Credit_Distill,23,15,0,2,6,0,0,226.55,64.12,194.47,114.08,1474.7,181719,5843,187562,5,0.108388,0.025,0.133389
"2606.12652v1_A_mean_field_approach_to_multiple,_long-delayed_systems",31,27,0,3,1,0,0,172.65,67.02,171.22,103.06,2077.65,840630,29993,870623,27,0.510296,0.135,0.645296
AndyW_Dissertation_Limit,271,254,1,16,0,0,0,475.38,52.96,149.97,129.69,14351.67,2127287,66703,2193990,68,1.263753,0.34,1.603765
BD_money_in_bank_preprint,85,78,0,3,4,0,0,293.42,61.93,174.92,133.02,5264.3,938638,33617,972255,27,0.57017,0.135,0.705173
Cannabis_in_the_Capital__Manuscript,52,44,1,7,0,0,0,185.45,71.81,161.21,134.02,3734.17,616923,19941,636864,19,0.368283,0.095,0.463286
Domestic Politics in 2025_ South Korea's Polarized Democracy After Martial Law,24,19,0,0,5,0,0,175.98,76.82,165.14,112.05,1843.71,430139,13633,443772,13,0.25597,0.065,0.320971
Fingerprint_Ridges,38,36,0,2,0,0,0,160.57,61.61,135.09,106.66,2341.3,376306,11062,387368,12,0.22134,0.06,0.281341
GenAI_CrimEvidence,33,33,0,0,0,0,0,204.36,57.27,109.93,103.48,1889.86,524739,15002,539741,17,0.307376,0.085,0.392379
Gunshot_Detection_Literature_Review_Expanded,12,0,2,4,6,0,0,144.27,109.54,142.91,142.91,1314.43,497212,16959,514171,12,0.299484,0.06,0.359483
PredictionMarkets,49,0,49,0,0,0,0,351.79,62.49,84.05,84.04,3062.12,1514654,43134,1557788,49,0.886726,0.245,1.13173
Preprint - The AI Criminal Mastermind - Paper,85,79,1,4,1,0,0,629.38,76.67,197.67,174.72,6517.08,1689785,48905,1738690,53,0.991609,0.265,1.256613
Reimagining-justice-peacemaking-criminology-and-alternative-justice-systems-in-the-Kenyan-context,32,29,0,3,0,0,0,200.34,50.49,108.09,101.22,1615.6,591681,20604,612285,20,0.357653,0.1,0.457654
affiliation_errors_openalex,34,32,0,2,0,0,0,79.2,29.13,72.66,72.62,990.31,124960,3800,128760,4,0.073879,0.02,0.093881
algorithms-19-00509,52,52,0,0,0,0,0,176.79,44.87,104.03,71.53,2333.36,477684,17212,494896,15,0.290478,0.075,0.365479
hall_next_research,84,39,3,17,25,0,0,519.01,109.45,403.67,197.65,9193.88,2027341,83598,2110939,88,1.416501,0.65,2.066507
journal.pone.0325168,115,111,0,3,1,0,0,433.33,79.98,210.26,186.53,9197.46,938484,30635,969119,28,0.561148,0.14,0.70115
journal.pone.0334595,43,43,0,0,0,0,0,227.49,66.82,205.35,188.82,2873.23,277058,9024,286082,8,0.165601,0.04,0.205602
journal.pone.0345850,91,68,0,8,15,0,0,329.37,114.75,269.25,204.36,10441.95,1597609,54645,1652254,45,0.962741,0.225,1.187742
journal.pone.0349889,91,88,1,2,0,0,0,325.76,64.24,177.31,125.16,5845.68,810008,28488,838496,26,0.49047,0.13,0.620472
journal.pone.0352338,43,42,0,1,0,0,0,158.74,53.6,152.35,110.58,2304.6,611452,24374,635826,18,0.378847,0.09,0.468849
preprint-61779311834433-61779357373981,42,42,0,0,0,0,0,203.1,85.24,158.34,107.83,3580.0,1029185,29737,1058922,32,0.603805,0.16,0.763807
s12889-026-27943-8_reference,34,28,0,5,1,0,0,193.48,120.56,182.34,154.01,4098.9,1036170,39139,1075309,31,0.635502,0.155,0.790503
