document,citation_count,verified,not_found,minor_error,hallucination,uncertain,possible_hallucination,elapsed_seconds,avg_seconds_per_citation,max_seconds_per_citation,p95_seconds_per_citation,total_citation_latency_seconds,input_tokens,output_tokens,total_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
13335_Efficient_semantic_uncer,73,66,0,6,1,0,0,434.84,61.32,189.34,155.87,4476.59,957342,38285,995627,41,0.239325,0.41,0.649325
1_perspective_PLOSWater_preview,67,50,2,13,2,0,0,307.8,125.88,194.0,180.54,8433.95,1646420,63944,1710364,57,0.409212,0.57,0.979214
23812_Unmasking_Puppeteers_Lev,72,69,0,3,0,0,0,308.61,45.73,201.34,128.6,3292.65,183538,7700,191238,12,0.046334,0.12,0.166334
24047_Fourier_Token_Merging_Un,32,21,1,5,5,0,0,272.49,90.11,203.07,183.64,2883.6,391257,15331,406588,18,0.097415,0.18,0.277415
2606.11534v1_Urban_Heat_MiniCubes_An_AI-Ready_dataset_for_urban_heat_rese,104,93,3,6,2,0,0,544.08,83.81,212.52,185.19,8715.88,1086201,44206,1130407,59,0.272499,0.59,0.862497
2606.11558v1_Measurable_matchings_in_unbalanced_graphs,156,147,5,3,1,0,0,430.58,52.33,189.53,144.06,8162.81,1030785,40434,1071219,69,0.256698,0.69,0.946699
2606.11565v1,38,17,4,5,12,0,0,354.49,90.14,174.84,139.06,3425.19,896630,36638,933268,64,0.225125,0.64,0.865125
2606.12165v1_Pricing_mobility_services_under_decision-dependent_demand_un,36,34,1,0,1,0,0,153.34,54.11,148.97,143.21,1948.1,192217,7031,199248,7,0.047233,0.07,0.117233
2606.12167v1_Shared_Infrastructure_Investment_and_Pricing_Stackelberg_Equ,75,67,0,8,0,0,0,276.01,59.84,152.58,125.4,4488.19,773521,28229,801750,38,0.189991,0.38,0.569991
2606.12170v1_A_Stochastic_Framework_for_the_Spherical_Jeans_Equation_Moti,35,31,1,0,3,0,0,150.02,63.22,146.19,129.34,2212.63,402074,15736,417810,30,0.100083,0.3,0.400086
2606.12264v1_The_Confined_beta-Soft_rotor_model_in_rare-earth_nuclei,75,68,2,4,1,0,0,177.76,39.91,128.07,93.62,2992.94,509403,21539,530942,34,0.128805,0.34,0.468805
2606.12308v1_Laser-Liquid_Interaction_in_Laser-Induced_Forward_Transfer_(,76,67,0,2,7,0,0,184.69,41.61,165.21,132.18,3162.63,430850,18795,449645,27,0.109665,0.27,0.379665
2606.12619v1_Constraining_the_Low-p_T_ηπ^0_Ratio_for_Direct-Photon_Analys,32,22,1,8,1,0,0,153.55,55.68,150.44,148.91,1781.69,223910,9564,233474,11,0.056738,0.11,0.166738
2606.12627v1_Two_pathways_to_diapycnal_mixing_in_strongly_stratified_flow,52,50,0,0,2,0,0,197.26,50.24,176.98,135.09,2612.43,186397,9343,195740,12,0.048958,0.12,0.168958
2606.12634v1_Keep_Policy_Gradient_in_Charge_Sibling-Guided_Credit_Distill,23,14,0,2,7,0,0,278.53,84.74,180.48,133.28,1949.09,139576,4739,144315,5,0.033839,0.05,0.083839
"2606.12652v1_A_mean_field_approach_to_multiple,_long-delayed_systems",31,23,1,4,3,0,0,133.25,89.29,129.12,115.57,2768.09,955157,40804,995961,78,0.242037,0.78,1.022036
AndyW_Dissertation_Limit,271,246,7,18,0,0,0,600.95,66.45,181.89,159.99,18008.79,2281320,90535,2371855,132,0.569437,1.32,1.889438
BD_money_in_bank_preprint,85,76,3,6,0,0,0,380.32,70.7,192.2,168.41,6009.13,905998,35582,941580,61,0.225678,0.61,0.835678
Cannabis_in_the_Capital__Manuscript,52,43,5,4,0,0,0,215.25,82.26,181.17,174.65,4277.67,611836,23341,635177,35,0.151545,0.35,0.501543
Domestic Politics in 2025_ South Korea's Polarized Democracy After Martial Law,24,14,5,3,2,0,0,209.44,127.27,199.07,174.3,3054.56,460476,17125,477601,38,0.113502,0.38,0.493502
Fingerprint_Ridges,38,35,0,3,0,0,0,226.24,94.16,200.34,178.43,3577.93,397662,15080,412742,25,0.098383,0.25,0.348383
GenAI_CrimEvidence,33,28,2,3,0,0,0,247.28,80.97,145.28,132.43,2671.98,461933,15961,477894,12,0.112336,0.12,0.232336
Gunshot_Detection_Literature_Review_Expanded,12,0,9,0,3,0,0,187.2,126.82,185.54,175.39,1521.84,403336,12982,416318,38,0.096895,0.38,0.476895
PredictionMarkets,49,0,49,0,0,0,0,334.3,56.62,76.77,72.33,2774.19,1113191,28190,1141381,5,0.257876,0.05,0.307876
Preprint - The AI Criminal Mastermind - Paper,85,63,6,14,2,0,0,823.99,91.87,277.75,223.29,7808.78,1676916,64035,1740951,76,0.415425,0.76,1.175426
Reimagining-justice-peacemaking-criminology-and-alternative-justice-systems-in-the-Kenyan-context,32,21,3,6,2,0,0,298.82,62.7,161.8,125.82,2006.35,635261,26179,661440,34,0.159777,0.34,0.499776
affiliation_errors_openalex,34,31,0,3,0,0,0,145.27,31.04,144.18,80.02,1055.25,169474,6884,176358,5,0.042501,0.05,0.0925
algorithms-19-00509,52,49,0,3,0,0,0,261.72,37.38,192.02,126.96,1943.86,552792,24040,576832,32,0.140609,0.32,0.46061
hall_next_research,84,36,19,14,15,0,0,656.02,145.58,331.22,240.28,12228.53,2226641,91530,2318171,191,0.559739,1.91,2.469738
