document,page_count,text_length,citation_count,ocr_seconds,extract_seconds,input_tokens,output_tokens,total_tokens,cost_usd
13335_Efficient_semantic_uncer,30,98861,73,0.6,85.32,40016,27428,67444,0.036226
1_perspective_PLOSWater_preview,11,45053,67,1.52,74.01,22704,19740,42444,0.025414
23812_Unmasking_Puppeteers_Lev,16,54301,72,2.02,62.41,32027,22832,54859,0.029582
24047_Fourier_Token_Merging_Un,22,68399,32,2.83,33.41,14396,8999,23395,0.011802
2606.11534v1_Urban_Heat_MiniCubes_An_AI-Ready_dataset_for_urban_heat_rese,53,107840,103,17.26,104.07,41084,33867,74951,0.044166
2606.11558v1_Measurable_matchings_in_unbalanced_graphs,68,233781,156,2.0,126.81,30031,31993,62024,0.041583
2606.11565v1,27,56658,40,0.47,34.93,14004,10342,24346,0.013335
2606.12165v1_Pricing_mobility_services_under_decision-dependent_demand_un,42,102718,36,0.81,26.36,7883,7747,15630,0.009935
2606.12167v1_Shared_Infrastructure_Investment_and_Pricing_Stackelberg_Equ,99,147797,75,1.58,96.61,15032,14485,29517,0.018512
2606.12170v1_A_Stochastic_Framework_for_the_Spherical_Jeans_Equation_Moti,24,45045,35,0.27,88.79,17479,5291,22770,0.009376
2606.12264v1_The_Confined_beta-Soft_rotor_model_in_rare-earth_nuclei,51,80625,78,0.89,88.07,43932,25776,69708,0.035965
2606.12308v1_Laser-Liquid_Interaction_in_Laser-Induced_Forward_Transfer_(,22,73163,76,0.35,56.91,26073,22030,48103,0.028367
2606.12619v1_Constraining_the_Low-p_T_ηπ^0_Ratio_for_Direct-Photon_Analys,10,38034,32,0.49,46.25,17493,5799,23292,0.009988
2606.12627v1_Two_pathways_to_diapycnal_mixing_in_strongly_stratified_flow,35,97365,52,0.66,72.08,11196,10873,22069,0.01388
2606.12634v1_Keep_Policy_Gradient_in_Charge_Sibling-Guided_Credit_Distill,13,46208,23,0.26,27.18,10815,5381,16196,0.007213
"2606.12652v1_A_mean_field_approach_to_multiple,_long-delayed_systems",6,27443,33,0.21,55.03,6764,5978,12742,0.007588
AndyW_Dissertation_Limit,50,68507,271,0.34,250.81,60158,58455,118613,0.074672
BD_money_in_bank_preprint,17,80365,85,0.88,117.88,12661,15283,27944,0.019465
Cannabis_in_the_Capital__Manuscript,23,40519,52,0.91,90.33,11723,9344,21067,0.01215
Domestic Politics in 2025_ South Korea's Polarized Democracy After Martial Law,21,50485,24,0.26,44.07,3664,3416,7080,0.004363
Fingerprint_Ridges,34,98422,38,1.39,66.73,14393,10996,25389,0.014197
GenAI_CrimEvidence,14,29961,33,0.25,57.76,10626,5938,16564,0.007844
Gunshot_Detection_Literature_Review_Expanded,2,4345,12,0.01,45.52,3165,1809,4974,0.002335
PredictionMarkets,30,80792,48,0.57,38.08,3966,5901,9867,0.007405
Preprint - The AI Criminal Mastermind - Paper,22,86045,86,0.64,62.48,25199,20980,46179,0.026932
Reimagining-justice-peacemaking-criminology-and-alternative-justice-systems-in-the-Kenyan-context,14,47410,32,0.23,78.0,4050,4645,8695,0.005915
affiliation_errors_openalex,20,61834,34,0.51,53.92,8123,7811,15934,0.01006
algorithms-19-00509,30,90751,52,0.66,41.42,20873,14984,35857,0.019341
hall_next_research,10,54278,84,0.43,105.77,21666,19048,40714,0.024376
journal.pone.0325168,53,148270,115,2.15,103.48,37467,32231,69698,0.04148
journal.pone.0334595,27,91492,43,0.92,36.73,17827,13100,30927,0.01694
journal.pone.0345850,33,114157,90,1.52,83.49,29828,25476,55304,0.032784
journal.pone.0349889,22,94466,91,2.67,93.39,33272,27529,60801,0.035467
journal.pone.0352338,17,67980,43,1.22,38.61,18556,14091,32647,0.018275
preprint-61779311834433-61779357373981,41,106335,42,0.58,33.74,10671,9127,19798,0.011679
s12889-026-27943-8_reference,23,50760,34,0.41,32.56,26080,5390,31470,0.010746
