document,citation_count,verified,not_found,minor_error,hallucination,uncertain,possible_hallucination,elapsed_seconds,avg_seconds_per_citation,max_seconds_per_citation,p95_seconds_per_citation,total_citation_latency_seconds,input_tokens,output_tokens,total_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
13335_Efficient_semantic_uncer,73,71,0,1,1,0,0,245.38,39.4,102.8,102.76,2876.1,474902,15640,490542,22,0.181571,0.308,0.489572
1_perspective_PLOSWater_preview,67,58,0,7,2,0,0,200.29,74.49,132.83,128.02,4990.77,918669,35077,953746,38,0.363291,0.532,0.895291
23812_Unmasking_Puppeteers_Lev,72,70,0,2,0,0,0,179.3,25.86,100.25,55.77,1861.61,94982,3275,98257,6,0.036682,0.084,0.120683
24047_Fourier_Token_Merging_Un,32,25,0,2,5,0,0,137.24,48.57,102.81,102.78,1554.38,190053,7104,197157,3,0.074777,0.042,0.116777
2606.11534v1_Urban_Heat_MiniCubes_An_AI-Ready_dataset_for_urban_heat_rese,104,101,1,2,0,0,0,291.44,48.03,102.79,100.24,4994.97,522522,18093,540615,23,0.20199,0.322,0.523989
2606.11558v1_Measurable_matchings_in_unbalanced_graphs,156,154,0,1,1,0,0,200.57,25.84,96.95,79.23,4031.46,489686,14806,504492,19,0.183922,0.266,0.449923
2606.11565v1,38,21,2,3,12,0,0,159.33,46.92,99.56,96.92,1782.91,404017,14383,418400,16,0.157163,0.224,0.381164
2606.12165v1_Pricing_mobility_services_under_decision-dependent_demand_un,36,33,1,1,1,0,0,41.27,17.58,36.15,36.12,632.76,114134,4175,118309,5,0.044678,0.07,0.114678
2606.12167v1_Shared_Infrastructure_Investment_and_Pricing_Stackelberg_Equ,75,69,2,4,0,0,0,186.08,38.14,90.64,88.09,2860.63,393469,12573,406042,15,0.149473,0.21,0.359474
2606.12170v1_A_Stochastic_Framework_for_the_Spherical_Jeans_Equation_Moti,35,31,0,0,4,0,0,93.28,41.22,90.65,88.12,1442.63,175310,5940,181250,7,0.067443,0.098,0.165443
2606.12264v1_The_Confined_beta-Soft_rotor_model_in_rare-earth_nuclei,75,69,1,4,1,0,0,125.67,36.85,124.38,124.09,2763.43,258618,10085,268703,12,0.102797,0.168,0.270798
2606.12308v1_Laser-Liquid_Interaction_in_Laser-Induced_Forward_Transfer_(,76,68,0,1,7,0,0,91.12,33.36,85.13,85.04,2535.31,237920,9625,247545,12,0.095438,0.168,0.26344
2606.12619v1_Constraining_the_Low-p_T_ηπ^0_Ratio_for_Direct-Photon_Analys,32,22,1,8,1,0,0,147.26,50.83,146.69,85.12,1626.48,112241,4957,117198,4,0.046064,0.056,0.102064
2606.12627v1_Two_pathways_to_diapycnal_mixing_in_strongly_stratified_flow,52,51,0,0,1,0,0,90.31,45.89,85.09,82.0,2386.47,79060,2962,82022,3,0.031123,0.042,0.073123
2606.12634v1_Keep_Policy_Gradient_in_Charge_Sibling-Guided_Credit_Distill,23,14,0,2,7,0,0,110.17,27.24,106.97,67.84,626.41,78733,2648,81381,3,0.03024,0.042,0.07224
"2606.12652v1_A_mean_field_approach_to_multiple,_long-delayed_systems",31,26,0,3,2,0,0,78.48,55.03,77.0,75.28,1705.99,425534,16312,441846,22,0.168437,0.308,0.476437
AndyW_Dissertation_Limit,271,260,2,9,0,0,0,261.06,27.84,108.74,91.25,7544.92,1071788,34206,1105994,47,0.407051,0.658,1.065051
BD_money_in_bank_preprint,85,78,0,4,3,0,0,172.67,40.16,97.62,97.46,3413.2,429314,13195,442509,21,0.161782,0.294,0.455782
Cannabis_in_the_Capital__Manuscript,52,44,3,5,0,0,0,92.34,40.41,91.09,91.07,2101.57,301415,9793,311208,12,0.114905,0.168,0.282905
Domestic Politics in 2025_ South Korea's Polarized Democracy After Martial Law,24,19,0,1,4,0,0,94.3,56.38,93.83,93.82,1353.04,204603,6307,210910,9,0.077148,0.126,0.20315
Fingerprint_Ridges,38,36,0,2,0,0,0,82.08,40.39,80.72,73.15,1534.65,194773,6180,200953,6,0.073882,0.084,0.157882
GenAI_CrimEvidence,33,33,0,0,0,0,0,73.18,22.17,43.61,43.61,731.68,270065,7792,277857,12,0.1005,0.168,0.268499
Gunshot_Detection_Literature_Review_Expanded,12,0,3,0,9,0,0,52.65,26.83,51.06,24.65,321.98,189326,5745,195071,7,0.07116,0.098,0.16916
PredictionMarkets,49,0,49,0,0,0,0,256.02,42.16,88.02,87.53,2065.86,769547,23897,793444,21,0.290602,0.294,0.584603
Preprint - The AI Criminal Mastermind - Paper,85,78,2,4,1,0,0,327.9,36.64,136.57,87.55,3114.7,833578,26341,859919,38,0.315927,0.532,0.847928
Reimagining-justice-peacemaking-criminology-and-alternative-justice-systems-in-the-Kenyan-context,32,28,0,4,0,0,0,125.01,36.99,64.85,64.42,1183.55,300423,9524,309947,13,0.113937,0.182,0.295937
affiliation_errors_openalex,34,32,2,0,0,0,0,66.65,23.32,52.73,52.72,793.05,64551,2268,66819,2,0.025035,0.028,0.053035
algorithms-19-00509,52,52,0,0,0,0,0,168.15,23.04,111.14,56.17,1197.91,246987,9211,256198,13,0.09712,0.182,0.279121
hall_next_research,84,43,4,20,17,0,0,296.66,53.82,136.16,132.79,4520.95,971261,35792,1007053,43,0.380859,0.602,0.982858
journal.pone.0325168,115,112,0,3,0,0,0,216.35,36.18,128.56,125.35,4161.05,444842,14223,459065,20,0.169008,0.28,0.44901
journal.pone.0334595,43,43,0,0,0,0,0,96.11,22.1,79.75,57.18,950.43,127406,4230,131636,5,0.048797,0.07,0.118797
journal.pone.0345850,91,79,0,3,9,0,0,159.41,42.81,91.88,89.07,3895.79,752071,27692,779763,35,0.294852,0.49,0.784851
journal.pone.0349889,91,89,1,1,0,0,0,112.41,26.67,69.44,66.47,2427.02,413316,13031,426347,15,0.156572,0.21,0.366571
journal.pone.0352338,43,42,1,0,0,0,0,57.92,31.05,52.93,52.9,1335.0,292213,10874,303087,14,0.114849,0.196,0.310849
preprint-61779311834433-61779357373981,42,41,0,1,0,0,0,59.2,27.05,36.07,35.89,1135.9,504750,15796,520546,22,0.190917,0.308,0.498916
s12889-026-27943-8_reference,34,29,0,2,3,0,0,50.58,15.89,34.43,32.12,540.09,488764,16346,505110,26,0.187494,0.364,0.551494
