document,citation_count,verified,not_found,minor_error,hallucination,uncertain,possible_hallucination,elapsed_seconds,avg_seconds_per_citation,max_seconds_per_citation,p95_seconds_per_citation,total_citation_latency_seconds,input_tokens,output_tokens,total_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
13335_Efficient_semantic_uncer,73,71,0,1,1,0,0,433.8,57.3,213.91,152.54,4182.55,1172163,33687,1205850,30,0.343572,0.15,0.493573
1_perspective_PLOSWater_preview,67,58,1,5,3,0,0,301.84,101.68,189.12,153.78,6812.36,1649936,72815,1722751,56,0.812324,0.4,1.212324
23812_Unmasking_Puppeteers_Lev,72,65,0,6,1,0,0,327.59,40.96,174.11,90.33,2948.88,205714,7442,213156,5,0.062592,0.025,0.087591
24047_Fourier_Token_Merging_Un,32,24,0,2,6,0,0,248.78,77.21,176.21,149.41,2470.87,417672,15289,432961,12,0.127351,0.06,0.187353
2606.11534v1_Urban_Heat_MiniCubes_An_AI-Ready_dataset_for_urban_heat_rese,104,98,0,3,3,0,0,472.51,71.6,158.2,153.45,7446.78,1168298,40992,1209290,33,0.35356,0.165,0.518563
2606.11558v1_Measurable_matchings_in_unbalanced_graphs,156,146,2,7,1,0,0,451.03,37.51,159.34,115.62,5852.09,903568,28595,932163,26,0.268785,0.13,0.398784
2606.11565v1,38,19,3,4,12,0,0,420.03,116.11,395.68,372.48,4412.19,1021325,36742,1058067,42,0.412624,0.31,0.722626
2606.12165v1_Pricing_mobility_services_under_decision-dependent_demand_un,36,33,0,2,1,0,0,200.48,51.54,159.01,120.26,1855.41,243630,7870,251500,6,0.072713,0.03,0.102713
2606.12167v1_Shared_Infrastructure_Investment_and_Pricing_Stackelberg_Equ,75,63,0,12,0,0,0,394.97,69.91,348.26,181.3,5243.21,844462,28926,873388,27,0.316346,0.165,0.481347
2606.12170v1_A_Stochastic_Framework_for_the_Spherical_Jeans_Equation_Moti,35,30,1,2,2,0,0,471.26,102.68,459.56,345.6,3593.91,454928,16192,471120,35,0.268752,0.315,0.583753
2606.12264v1_The_Confined_beta-Soft_rotor_model_in_rare-earth_nuclei,76,67,1,7,1,0,0,444.77,83.54,387.99,183.81,6349.32,501588,19856,521444,18,0.180767,0.115,0.295767
2606.12308v1_Laser-Liquid_Interaction_in_Laser-Induced_Forward_Transfer_(,76,67,0,3,6,0,0,165.16,47.28,129.85,109.4,3593.38,492403,20776,513179,13,0.154265,0.065,0.219265
