document,citation_count,verified,not_found,minor_error,hallucination,uncertain,possible_hallucination,elapsed_seconds,avg_seconds_per_citation,max_seconds_per_citation,p95_seconds_per_citation,total_citation_latency_seconds,input_tokens,output_tokens,total_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
13335_Efficient_semantic_uncer,73,70,1,1,1,0,0,446.04,59.77,185.19,143.06,4363.36,982775,26577,1009352,46,0.155027,0.23,0.385027
1_perspective_PLOSWater_preview,67,54,1,10,2,0,0,330.47,115.61,198.4,181.94,7745.69,1600675,47221,1647896,76,0.258196,0.38,0.638194
23812_Unmasking_Puppeteers_Lev,72,67,0,5,0,0,0,330.81,46.55,205.67,98.27,3351.91,167810,4538,172348,6,0.026457,0.03,0.056457
24047_Fourier_Token_Merging_Un,32,22,0,4,6,0,0,283.87,90.1,207.51,177.65,2883.25,404342,12058,416400,16,0.065217,0.08,0.145217
2606.11534v1_Urban_Heat_MiniCubes_An_AI-Ready_dataset_for_urban_heat_rese,104,99,2,3,0,0,0,551.21,78.84,191.02,183.81,8198.99,1118013,33666,1151679,46,0.174867,0.23,0.404866
2606.11558v1_Measurable_matchings_in_unbalanced_graphs,156,142,4,8,2,0,0,388.19,40.12,130.3,116.21,6258.12,878178,27180,905358,38,0.132908,0.19,0.322907
2606.11565v1,38,17,7,5,9,0,0,333.13,90.21,132.2,124.44,3428.13,890696,26918,917614,41,0.138877,0.205,0.343876
2606.12165v1_Pricing_mobility_services_under_decision-dependent_demand_un,36,33,0,2,1,0,0,154.1,46.4,128.68,127.44,1670.41,204981,5639,210620,9,0.03018,0.045,0.07518
2606.12167v1_Shared_Infrastructure_Investment_and_Pricing_Stackelberg_Equ,75,61,0,14,0,0,0,312.56,56.53,129.92,111.83,4239.58,806318,22950,829268,32,0.127304,0.16,0.287305
2606.12170v1_A_Stochastic_Framework_for_the_Spherical_Jeans_Equation_Moti,35,30,2,1,2,0,0,183.16,74.4,147.36,133.94,2604.16,370095,10364,380459,14,0.053168,0.07,0.123168
2606.12264v1_The_Confined_beta-Soft_rotor_model_in_rare-earth_nuclei,76,67,3,5,1,0,0,205.78,48.76,163.78,111.57,3705.54,478616,14853,493469,23,0.070846,0.115,0.185845
2606.12308v1_Laser-Liquid_Interaction_in_Laser-Induced_Forward_Transfer_(,76,67,0,4,5,0,0,195.06,43.7,143.22,118.93,3321.1,460189,14686,474875,26,0.071355,0.13,0.201354
2606.12619v1_Constraining_the_Low-p_T_ηπ^0_Ratio_for_Direct-Photon_Analys,32,30,0,1,1,0,0,190.45,78.43,166.24,164.24,2509.88,442219,13769,455988,21,0.064775,0.105,0.169775
2606.12627v1_Two_pathways_to_diapycnal_mixing_in_strongly_stratified_flow,52,48,2,2,0,0,0,186.28,42.8,151.68,113.99,2225.63,166691,4885,171576,5,0.025393,0.025,0.050393
2606.12634v1_Keep_Policy_Gradient_in_Charge_Sibling-Guided_Credit_Distill,23,13,0,3,7,0,0,272.91,70.98,152.83,104.75,1632.53,167421,4557,171978,6,0.025773,0.03,0.055774
"2606.12652v1_A_mean_field_approach_to_multiple,_long-delayed_systems",31,23,3,3,2,0,0,169.05,85.68,118.0,102.31,2656.14,898223,27258,925481,28,0.12946,0.14,0.269459
AndyW_Dissertation_Limit,271,239,2,30,0,0,0,661.37,66.32,177.09,162.17,17972.51,2354372,68698,2423070,97,0.325923,0.485,0.810924
BD_money_in_bank_preprint,85,74,3,7,1,0,0,473.46,80.15,188.15,183.08,6812.42,1073670,30789,1104459,40,0.158134,0.2,0.358131
Cannabis_in_the_Capital__Manuscript,52,38,5,9,0,0,0,304.6,89.54,192.41,180.51,4655.91,678304,20160,698464,33,0.101453,0.165,0.266453
Domestic Politics in 2025_ South Korea's Polarized Democracy After Martial Law,24,17,6,1,0,0,0,232.77,123.89,185.94,183.35,2973.28,437895,11287,449182,18,0.06219,0.09,0.152191
Fingerprint_Ridges,38,38,0,0,0,0,0,236.31,77.6,148.0,145.56,2948.81,303824,8363,312187,12,0.045057,0.06,0.105058
GenAI_CrimEvidence,33,31,0,2,0,0,0,301.49,83.22,142.54,128.83,2746.3,603918,17955,621873,24,0.083285,0.12,0.203285
Gunshot_Detection_Literature_Review_Expanded,12,0,8,1,3,0,0,203.74,140.46,174.42,171.09,1685.46,402378,11663,414041,19,0.049848,0.095,0.144849
PredictionMarkets,49,0,49,0,0,0,0,444.63,75.73,141.11,92.23,3710.78,1626934,34131,1661065,51,0.209938,0.255,0.464937
Preprint - The AI Criminal Mastermind - Paper,85,74,6,5,0,0,0,732.39,87.73,169.64,157.55,7457.17,1847690,51815,1899505,78,0.228101,0.39,0.618099
Reimagining-justice-peacemaking-criminology-and-alternative-justice-systems-in-the-Kenyan-context,32,19,1,11,1,0,0,370.71,83.03,132.25,116.33,2656.91,709059,23154,732213,29,0.09167,0.145,0.236672
affiliation_errors_openalex,34,30,1,3,0,0,0,150.08,42.31,105.96,101.01,1438.38,137391,4644,142035,7,0.016707,0.035,0.051707
algorithms-19-00509,52,49,0,2,1,0,0,299.25,60.54,135.87,120.35,3148.29,557618,17880,575498,27,0.080212,0.135,0.215212
hall_next_research,84,31,19,23,11,0,0,607.63,115.09,222.87,166.89,9667.34,2093802,66959,2160761,85,0.274776,0.425,0.699775
journal.pone.0325168,115,104,1,9,1,0,0,451.79,69.86,168.89,159.15,8034.3,944719,26525,971244,35,0.124022,0.175,0.299022
journal.pone.0334595,43,38,0,5,0,0,0,266.25,67.41,178.5,162.62,2898.65,273986,8310,282296,14,0.040279,0.07,0.110279
journal.pone.0345850,91,65,15,3,8,0,0,343.27,103.35,181.13,168.32,9405.07,1529983,45151,1575134,72,0.198685,0.36,0.558686
journal.pone.0349889,91,79,2,10,0,0,0,324.27,67.63,151.6,141.81,6154.62,878862,25519,904381,34,0.124116,0.17,0.294117
journal.pone.0352338,43,38,1,4,0,0,0,220.87,72.97,123.11,120.79,3137.55,621785,18851,640636,33,0.087306,0.165,0.252305
preprint-61779311834433-61779357373981,42,39,0,3,0,0,0,174.34,53.33,134.51,129.51,2239.77,374428,11397,385825,19,0.045822,0.095,0.140823
s12889-026-27943-8_reference,34,25,2,3,4,0,0,166.83,130.83,152.18,149.16,4448.28,1049732,29887,1079619,47,0.14026,0.235,0.37526
