document,page_count,text_length,citation_count,ocr_seconds,extract_seconds,input_tokens,output_tokens,total_tokens,cost_usd
13335_Efficient_semantic_uncer,30,98861,73,0.53,34.31,33837,36884,70721,0.102361
1_perspective_PLOSWater_preview,11,45053,67,1.33,30.09,20451,29934,50385,0.08097
23812_Unmasking_Puppeteers_Lev,16,54301,72,2.65,26.86,26880,32004,58884,0.088074
24047_Fourier_Token_Merging_Un,22,68399,32,3.65,11.68,11882,12233,24115,0.034147
2606.11534v1_Urban_Heat_MiniCubes_An_AI-Ready_dataset_for_urban_heat_rese,53,107840,104,14.91,42.47,36283,47529,83812,0.129707
2606.11558v1_Measurable_matchings_in_unbalanced_graphs,68,233781,156,1.39,59.29,27063,42459,69522,0.114266
2606.11565v1,27,56658,40,0.28,11.86,11768,11533,23301,0.032363
2606.12165v1_Pricing_mobility_services_under_decision-dependent_demand_un,42,102718,36,0.76,13.56,7227,11292,18519,0.030398
2606.12167v1_Shared_Infrastructure_Investment_and_Pricing_Stackelberg_Equ,99,147797,75,1.07,41.66,13024,20225,33249,0.05447
2606.12170v1_A_Stochastic_Framework_for_the_Spherical_Jeans_Equation_Moti,24,45045,35,0.24,34.95,17197,6072,23269,0.020339
2606.12264v1_The_Confined_beta-Soft_rotor_model_in_rare-earth_nuclei,51,80625,78,0.86,33.5,46295,34791,81086,0.100866
2606.12308v1_Laser-Liquid_Interaction_in_Laser-Induced_Forward_Transfer_(,22,73163,76,0.33,25.52,23008,30690,53698,0.083627
2606.12619v1_Constraining_the_Low-p_T_ηπ^0_Ratio_for_Direct-Photon_Analys,10,38034,32,0.43,19.48,17573,8539,26112,0.026619
2606.12627v1_Two_pathways_to_diapycnal_mixing_in_strongly_stratified_flow,35,97365,52,0.8,23.89,9486,13192,22678,0.035826
2606.12634v1_Keep_Policy_Gradient_in_Charge_Sibling-Guided_Credit_Distill,13,46208,23,0.39,11.66,8927,6796,15723,0.019668
"2606.12652v1_A_mean_field_approach_to_multiple,_long-delayed_systems",6,27443,31,0.25,11.83,5714,7561,13275,0.020617
AndyW_Dissertation_Limit,50,68507,271,0.33,106.08,51702,74375,126077,0.201448
BD_money_in_bank_preprint,17,80365,85,0.36,61.29,11326,20238,31564,0.053993
Cannabis_in_the_Capital__Manuscript,23,40519,52,0.19,31.88,10232,11593,21825,0.032052
Domestic Politics in 2025_ South Korea's Polarized Democracy After Martial Law,21,50485,24,0.24,18.39,3173,4255,7428,0.011589
Fingerprint_Ridges,34,98422,38,1.61,16.76,12442,14988,27430,0.041203
GenAI_CrimEvidence,14,29961,33,0.24,30.08,8983,9816,18799,0.027235
Gunshot_Detection_Literature_Review_Expanded,2,4345,12,0.01,6.12,2629,2800,5429,0.007789
PredictionMarkets,30,80792,49,0.46,19.38,3739,9617,13356,0.025164
Preprint - The AI Criminal Mastermind - Paper,22,86045,86,0.67,30.15,21978,32823,54801,0.088651
Reimagining-justice-peacemaking-criminology-and-alternative-justice-systems-in-the-Kenyan-context,14,47410,32,0.28,35.94,3640,5070,8710,0.013767
affiliation_errors_openalex,20,61834,34,0.45,15.31,7398,12206,19604,0.032734
algorithms-19-00509,30,90751,52,0.63,15.62,17321,18438,35759,0.051291
hall_next_research,10,54278,84,0.41,46.54,18749,27026,45775,0.07319
journal.pone.0325168,53,148270,115,2.05,46.09,33570,47159,80729,0.127969
journal.pone.0334595,27,91492,43,0.94,17.19,15626,19920,35546,0.054488
journal.pone.0345850,33,114157,90,1.16,32.38,26074,37674,63748,0.102007
journal.pone.0349889,22,94466,91,0.99,37.0,29688,40270,69958,0.109581
journal.pone.0352338,17,67980,43,0.55,19.85,16494,21708,38202,0.059218
preprint-61779311834433-61779357373981,41,106335,42,0.48,24.59,8984,12804,21788,0.034705
s12889-026-27943-8_reference,23,50760,34,0.28,14.29,28976,8232,37208,0.029273
