document,page_count,text_length,citation_count,ocr_seconds,extract_seconds,input_tokens,output_tokens,total_tokens,cost_usd
13335_Efficient_semantic_uncer,30,98873,77,0.53,105.8,55313,28874,84187,0.047155
1_perspective_PLOSWater_preview,11,45060,67,0.88,72.97,24811,19993,44804,0.029953
23812_Unmasking_Puppeteers_Lev,16,54301,72,1.29,73.6,35195,22907,58102,0.035673
24047_Fourier_Token_Merging_Un,22,68399,32,1.86,29.32,20511,9151,29662,0.015541
2606.11534v1_Urban_Heat_MiniCubes_An_AI-Ready_dataset_for_urban_heat_rese,53,107869,104,8.33,120.69,51011,37457,88468,0.057023
2606.11558v1_Measurable_matchings_in_unbalanced_graphs,68,233789,156,1.75,120.15,32473,33019,65492,0.047768
2606.11565v1,27,56658,40,0.25,41.53,15412,10224,25636,0.015862
2606.12165v1_Pricing_mobility_services_under_decision-dependent_demand_un,42,102725,35,0.88,34.38,23161,10368,33529,0.017592
2606.12167v1_Shared_Infrastructure_Investment_and_Pricing_Stackelberg_Equ,99,147799,75,0.97,64.58,16442,14598,31040,0.021536
2606.12170v1_A_Stochastic_Framework_for_the_Spherical_Jeans_Equation_Moti,24,45045,35,0.29,54.3,17903,5328,23231,0.010241
2606.12264v1_The_Confined_beta-Soft_rotor_model_in_rare-earth_nuclei,51,80625,78,0.52,85.14,46748,25987,72735,0.041833
2606.12308v1_Laser-Liquid_Interaction_in_Laser-Induced_Forward_Transfer_(,22,73163,76,0.3,75.87,28537,23683,52220,0.035311
2606.12619v1_Constraining_the_Low-p_T_ηπ^0_Ratio_for_Direct-Photon_Analys,10,38034,32,0.29,47.68,17905,5822,23727,0.010859
2606.12627v1_Two_pathways_to_diapycnal_mixing_in_strongly_stratified_flow,35,97365,52,0.66,51.86,12252,11256,23508,0.01652
2606.12634v1_Keep_Policy_Gradient_in_Charge_Sibling-Guided_Credit_Distill,13,46208,24,0.34,38.38,17988,4547,22535,0.009281
"2606.12652v1_A_mean_field_approach_to_multiple,_long-delayed_systems",6,27443,33,0.28,50.44,7468,6596,14064,0.009739
AndyW_Dissertation_Limit,50,68507,271,0.49,209.09,65790,58899,124689,0.086782
BD_money_in_bank_preprint,17,80365,85,0.33,90.05,13717,15274,28991,0.021836
Cannabis_in_the_Capital__Manuscript,23,40519,52,0.18,78.11,12779,9490,22269,0.014418
Domestic Politics in 2025_ South Korea's Polarized Democracy After Martial Law,21,50485,24,0.23,34.96,4016,3491,7507,0.005167
Fingerprint_Ridges,34,98423,38,1.28,46.74,15802,11231,27033,0.017199
GenAI_CrimEvidence,14,29963,33,0.94,49.54,11682,5884,17566,0.009691
Gunshot_Detection_Literature_Review_Expanded,2,4345,12,0.01,14.45,3517,1894,5411,0.003071
PredictionMarkets,30,80792,48,0.44,51.2,4318,6047,10365,0.008422
Preprint - The AI Criminal Mastermind - Paper,22,86046,87,0.42,90.43,27663,23165,50828,0.034489
Reimagining-justice-peacemaking-criminology-and-alternative-justice-systems-in-the-Kenyan-context,14,47412,32,0.22,88.4,4403,5206,9609,0.007388
affiliation_errors_openalex,20,61837,34,0.31,34.71,8827,8037,16864,0.011812
algorithms-19-00509,30,90753,52,0.5,42.14,22985,15105,38090,0.023478
hall_next_research,10,54282,85,0.3,78.63,27167,20867,48034,0.031517
journal.pone.0325168,53,148270,116,1.16,110.29,40987,33524,74511,0.050102
journal.pone.0334595,27,91496,43,0.55,47.89,19587,14184,33771,0.021647
journal.pone.0345850,33,114159,90,0.79,81.96,32644,25889,58533,0.03889
journal.pone.0349889,22,94469,91,0.48,89.22,36444,28215,64659,0.042558
journal.pone.0352338,17,67985,43,0.33,49.36,20320,14491,34811,0.022178
preprint-61779311834433-61779357373981,41,106335,42,0.51,35.91,11727,9143,20870,0.013774
s12889-026-27943-8_reference,23,50760,34,0.3,36.4,26844,5585,32429,0.01235
