document,page_count,text_length,citation_count,ocr_seconds,extract_seconds,input_tokens,output_tokens,total_tokens,cost_usd
13335_Efficient_semantic_uncer,30,98873,73,0.54,33.65,46910,31012,77922,0.058246
1_perspective_PLOSWater_preview,11,45054,67,1.46,24.91,21704,24051,45755,0.041503
23812_Unmasking_Puppeteers_Lev,16,54301,72,0.85,24.51,28689,25383,54072,0.045247
24047_Fourier_Token_Merging_Un,22,68399,32,1.9,10.7,17579,9720,27299,0.018975
2606.11534v1_Urban_Heat_MiniCubes_An_AI-Ready_dataset_for_urban_heat_rese,53,107869,103,8.42,66.14,43943,42161,86104,0.074227
2606.11558v1_Measurable_matchings_in_unbalanced_graphs,68,233789,156,1.6,55.89,28459,34608,63067,0.059027
2606.11565v1,27,56658,40,0.26,13.78,12572,10880,23452,0.019463
2606.12165v1_Pricing_mobility_services_under_decision-dependent_demand_un,42,102725,36,0.69,12.8,19817,10814,30631,0.021175
2606.12167v1_Shared_Infrastructure_Investment_and_Pricing_Stackelberg_Equ,99,147799,75,0.98,44.57,13830,15926,29756,0.027346
2606.12170v1_A_Stochastic_Framework_for_the_Spherical_Jeans_Equation_Moti,24,45045,35,0.33,40.79,17488,5867,23355,0.013173
2606.12264v1_The_Confined_beta-Soft_rotor_model_in_rare-earth_nuclei,51,80625,79,0.49,36.68,47903,31012,78915,0.058494
2606.12308v1_Laser-Liquid_Interaction_in_Laser-Induced_Forward_Transfer_(,22,73163,76,0.31,26.47,24415,25144,49559,0.04382
2606.12619v1_Constraining_the_Low-p_T_ηπ^0_Ratio_for_Direct-Photon_Analys,10,38034,32,0.26,18.22,17849,6523,24372,0.014247
2606.12627v1_Two_pathways_to_diapycnal_mixing_in_strongly_stratified_flow,35,97365,52,0.7,23.08,10089,11904,21993,0.020378
2606.12634v1_Keep_Policy_Gradient_in_Charge_Sibling-Guided_Credit_Distill,13,46208,28,0.22,12.81,15120,4748,19868,0.010902
"2606.12652v1_A_mean_field_approach_to_multiple,_long-delayed_systems",6,27443,31,0.24,14.86,6116,5947,12063,0.01045
AndyW_Dissertation_Limit,50,68507,271,0.32,121.44,54918,66603,121521,0.113634
BD_money_in_bank_preprint,17,80365,85,0.47,56.18,11929,16694,28623,0.028023
Cannabis_in_the_Capital__Manuscript,23,40519,54,0.18,45.05,10835,11125,21960,0.019396
Domestic Politics in 2025_ South Korea's Polarized Democracy After Martial Law,21,50485,24,0.21,19.15,3374,3577,6951,0.006209
Fingerprint_Ridges,34,98423,38,1.2,19.75,13248,13378,26626,0.023379
GenAI_CrimEvidence,14,29963,34,0.19,30.29,9586,6282,15868,0.011819
Gunshot_Detection_Literature_Review_Expanded,2,4345,12,0.01,6.05,2830,1919,4749,0.003586
PredictionMarkets,30,80792,48,0.41,12.11,3940,4864,8804,0.008281
Preprint - The AI Criminal Mastermind - Paper,22,86046,86,0.57,31.79,23387,22918,46305,0.040224
Reimagining-justice-peacemaking-criminology-and-alternative-justice-systems-in-the-Kenyan-context,14,47412,32,0.41,51.02,3843,4671,8514,0.007967
affiliation_errors_openalex,20,61837,34,0.3,15.38,7804,9781,17585,0.016622
algorithms-19-00509,30,90753,52,0.39,16.45,18527,16314,34841,0.029103
hall_next_research,10,54282,84,0.26,63.34,22611,22263,44874,0.039047
journal.pone.0325168,53,148266,116,0.77,61.85,35587,39162,74749,0.06764
journal.pone.0334595,27,91494,43,0.5,17.33,16634,16165,32799,0.028406
journal.pone.0345850,33,114143,90,0.71,34.43,27631,31090,58721,0.053543
journal.pone.0349889,22,94445,91,0.44,44.39,31613,32446,64059,0.056572
journal.pone.0352338,17,67960,43,0.35,19.9,17567,18356,35923,0.031926
preprint-61779311834433-61779357373981,41,106335,42,0.69,19.03,9587,9899,19486,0.017245
s12889-026-27943-8_reference,23,50760,34,0.81,14.28,29453,6399,35852,0.016962
