raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed
"1. Nekoo SR, Acosta JÁ, Heredia G, Ollero A. A benchmark mechatronics platform to assess the inspection around pipes with variable pitch quadrotor for industrial sites. Mechatronics. 2021;79:102641. https://doi.org/10.1016/j.mechatronics.2021.102641",journal_article,A benchmark mechatronics platform to assess the inspection around pipes with variable pitch quadrotor for industrial sites,Nekoo SR | Acosta JÁ | Heredia G | Ollero A,2021,Mechatronics,79,,102641,10.1016/j.mechatronics.2021.102641,,,,,
"2. Malkowsky S, Vieira J, Liu L, Harris P, Nieman K, Kundargi N, et al. The world’s first real-time testbed for massive MIMO: design, implementation, and validation. IEEE Access. 2017;5:9073-88. https://doi.org/10.1109/access.2017.2705561",journal_article,"The world’s first real-time testbed for massive MIMO: design, implementation, and validation",Malkowsky S | Vieira J | Liu L | Harris P | Nieman K | Kundargi N | et al.,2017,IEEE Access,5,,9073-88,10.1109/access.2017.2705561,,,,,
PLOS One https://doi.org/10.1371/journal.pone.0325168,web,,,,PLOS One,,,,10.1371/journal.pone.0325168,,,,https://doi.org/10.1371/journal.pone.0325168,
"3. Tarn TJ, Shoults GA, Yang SP. A dynamic model of an underwater vehicle with a robotic manipulator using Kane’s method. Auton Robot. 1996;3(2-3):269-83. https://doi.org/10.1007/bf00141159",journal_article,A dynamic model of an underwater vehicle with a robotic manipulator using Kane’s method,Tarn TJ | Shoults GA | Yang SP,1996,Auton Robot,3,2-3,269-83,10.1007/bf00141159,,,,,
"4. Parsi SS, Sivaselvan MV, Whittaker AS. Impedance-matching model-in-the-loop simulation. Earthq Eng Struct Dyn. 2023;52(12):3600-21. https://doi.org/10.1002/eqe.3922",journal_article,Impedance-matching model-in-the-loop simulation,Parsi SS | Sivaselvan MV | Whittaker AS,2023,Earthq Eng Struct Dyn,52,12,3600-21,10.1002/eqe.3922,,,,,
"5. Jingjing L, Shuai X, Jiawei L, Shijun Z, Chi Z. Design and in-orbit application of a new generalized fully-configured digital satellite based on software-in-the-loop. J Phys Conf Ser. 2022;2352(1):012009. https://doi.org/10.1088/1742-6596/2352/1/012009",journal_article,Design and in-orbit application of a new generalized fully-configured digital satellite based on software-in-the-loop,Jingjing L | Shuai X | Jiawei L | Shijun Z | Chi Z,2022,J Phys Conf Ser,2352,1,012009,10.1088/1742-6596/2352/1/012009,,,,,
"6. Ayachi Amor Y, Hamoudi F, Kheldoun A, Didier G, Rabiai Z. Fuzzy logic enhanced control for a single-stage grid-tied photovoltaic system with shunt active filtering capability. Int Trans Electr Energy Syst. 2021;31(10). https://doi.org/10.1002/2050-7038.13008",journal_article,Fuzzy logic enhanced control for a single-stage grid-tied photovoltaic system with shunt active filtering capability,Ayachi Amor Y | Hamoudi F | Kheldoun A | Didier G | Rabiai Z,2021,Int Trans Electr Energy Syst,31,10,,10.1002/2050-7038.13008,,,,,
7. Gambier A. Real-time control and hardware-in-the-loop simulation for educational purposes of wind energy systems. IFAC-PapersOnLine. 2020;53(2):17344-9. https://doi.org/10.1016/j.ifacol.2020.12.2084,journal_article,Real-time control and hardware-in-the-loop simulation for educational purposes of wind energy systems,Gambier A,2020,IFAC-PapersOnLine,53,2,17344-9,10.1016/j.ifacol.2020.12.2084,,,,,
"8. Liu J, Gao F, Liu H, Li P. Multi-metrics restricts on MPRs over standard OLSR. In: 2015 Fifth International Conference on Instrumentation and Measurement, Computer, Communication and Control (IMCCC). IEEE; 2015, pp. 364-8.",conference_paper,Multi-metrics restricts on MPRs over standard OLSR,Liu J | Gao F | Liu H | Li P,2015,,,,364-8,,,"2015 Fifth International Conference on Instrumentation and Measurement, Computer, Communication and Control (IMCCC)",IEEE,,
9. Ljung L. System identification: theory for the user. Prentice Hall PTR; 1999.,book,System identification: theory for the user,Ljung L,1999,,,,,,,,Prentice Hall PTR,,
"10. Sutulo S, Guedes Soares C. An algorithm for offline identification of ship manoeuvring mathematical models from free-running tests. Oce Eng. 2014;79:10-25. https://doi.org/10.1016/j.oceaneng.2014.01.007",journal_article,An algorithm for offline identification of ship manoeuvring mathematical models from free-running tests,Sutulo S | Guedes Soares C,2014,Oce Eng,79,,10-25,10.1016/j.oceaneng.2014.01.007,,,,,
"11. Villarreal-Cervantes MG, Alvarez-Gallegos J. Off-line PID control tuning for a planar parallel robot using DE variants. Expert Syst Appl. 2016;64:444-54. https://doi.org/10.1016/j.eswa.2016.08.013",journal_article,Off-line PID control tuning for a planar parallel robot using DE variants,Villarreal-Cervantes MG | Alvarez-Gallegos J,2016,Expert Syst Appl,64,,444-54,10.1016/j.eswa.2016.08.013,,,,,
"12. Rodríguez-Molina A, Villarreal-Cervantes MG, Pantoja-García JS, Rojas-López AG, Hernández-Castillo E, Mejía-Rodríguez R. Metaheuristic adaptive control based on polynomial regression and differential evolution for robotic manipulators. Appl Soft Comput. 2024;151:111116. https://doi.org/10.1016/j.asoc.2023.111116",journal_article,Metaheuristic adaptive control based on polynomial regression and differential evolution for robotic manipulators,Rodríguez-Molina A | Villarreal-Cervantes MG | Pantoja-García JS | Rojas-López AG | Hernández-Castillo E | Mejía-Rodríguez R,2024,Appl Soft Comput,151,,111116,10.1016/j.asoc.2023.111116,,,,,
"13. Dolatabadi PD, Khanlari K, Ghafory Ashtiany M, Hosseini M. System identification method by using inverse solution of equations of motion in time domain and noisy condition. Phys A Stat Mech Appl. 2020;538:122680. https://doi.org/10.1016/j.physa.2019.122680",journal_article,System identification method by using inverse solution of equations of motion in time domain and noisy condition,Dolatabadi PD | Khanlari K | Ghafory Ashtiany M | Hosseini M,2020,Phys A Stat Mech Appl,538,,122680,10.1016/j.physa.2019.122680,,,,,
"14. Xu K-F, Zhang Y-W, Niu M-Q, Chen L-Q. Dynamics analysis of a variable stiffness tuned mass damper enhanced by an inerter. Appl Sci. 2023;13(3):1404. https://doi.org/10.3390/app13031404",journal_article,Dynamics analysis of a variable stiffness tuned mass damper enhanced by an inerter,Xu K-F | Zhang Y-W | Niu M-Q | Chen L-Q,2023,Appl Sci,13,3,1404,10.3390/app13031404,,,,,
"15. McDonald DQ, Vallett R, Solovey E, Dion G, Shokoufandeh A. Knitted sensors. Proc ACM Interact Mob Wearable Ubiquitous Technol. 2020;4(4):1-25. https://doi.org/10.1145/3432201",journal_article,Knitted sensors,McDonald DQ | Vallett R | Solovey E | Dion G | Shokoufandeh A,2020,Proc ACM Interact Mob Wearable Ubiquitous Technol,4,4,1-25,10.1145/3432201,,,,,
"16. Chen D, Seborg DE. Robust Nyquist array analysis based on uncertainty descriptions from system identification. Automatica. 2002;38(3):467-75. https://doi.org/10.1016/s0005-1098(01)00207-2",journal_article,Robust Nyquist array analysis based on uncertainty descriptions from system identification,Chen D | Seborg DE,2002,Automatica,38,3,467-75,10.1016/s0005-1098(01)00207-2,,,,,
"17. Leboutet Q, Roux J, Janot A, Guadarrama-Olvera JR, Cheng G. Inertial parameter identification in robotics: a survey. Appl Sci. 2021;11(9):4303. https://doi.org/10.3390/app11094303",journal_article,Inertial parameter identification in robotics: a survey,Leboutet Q | Roux J | Janot A | Guadarrama-Olvera JR | Cheng G,2021,Appl Sci,11,9,4303,10.3390/app11094303,,,,,
