document,citation_count,verified,not_found,minor_error,hallucination,uncertain,possible_hallucination,elapsed_seconds,avg_seconds_per_citation,max_seconds_per_citation,p95_seconds_per_citation,total_citation_latency_seconds,input_tokens,output_tokens,total_tokens,web_search_calls,token_cost_usd,web_search_cost_usd,cost_usd
13335_Efficient_semantic_uncer,73,70,0,2,1,0,0,380.18,48.02,146.08,110.8,3505.22,923501,21611,945112,37,0.127932,0.37,0.497932
1_perspective_PLOSWater_preview,67,56,0,9,2,0,0,236.51,83.4,150.4,133.61,5587.78,1304862,33317,1338179,48,0.152095,0.48,0.632095
23812_Unmasking_Puppeteers_Lev,72,66,0,6,0,0,0,301.54,42.99,169.46,78.5,3095.43,165704,3996,169700,6,0.021396,0.06,0.081396
24047_Fourier_Token_Merging_Un,32,22,0,4,6,0,0,265.42,75.26,167.73,124.46,2408.31,382310,9257,391567,15,0.047873,0.15,0.197873
2606.11534v1_Urban_Heat_MiniCubes_An_AI-Ready_dataset_for_urban_heat_rese,104,98,2,4,0,0,0,449.92,71.21,159.81,136.73,7405.98,1042972,27146,1070118,48,0.132006,0.48,0.612006
2606.11558v1_Measurable_matchings_in_unbalanced_graphs,156,144,4,7,1,0,0,374.95,43.65,111.04,95.93,6810.05,829075,20143,849218,43,0.107288,0.43,0.537288
2606.11565v1,38,19,3,3,13,0,0,300.53,71.36,113.26,108.2,2711.54,874641,21682,896323,42,0.118247,0.42,0.538247
2606.12165v1_Pricing_mobility_services_under_decision-dependent_demand_un,36,32,0,3,1,0,0,136.15,59.13,107.98,103.42,2128.62,176371,4418,180789,8,0.020727,0.08,0.100727
2606.12167v1_Shared_Infrastructure_Investment_and_Pricing_Stackelberg_Equ,75,61,0,14,0,0,0,278.96,55.39,113.17,104.21,4154.09,707828,17071,724899,26,0.085968,0.26,0.345968
2606.12170v1_A_Stochastic_Framework_for_the_Spherical_Jeans_Equation_Moti,35,30,0,1,4,0,0,136.96,62.26,115.37,105.53,2179.16,358002,8804,366806,22,0.045777,0.22,0.265777
2606.12264v1_The_Confined_beta-Soft_rotor_model_in_rare-earth_nuclei,76,69,1,4,2,0,0,202.45,55.8,157.62,105.34,4240.44,435647,11612,447259,23,0.061368,0.23,0.291368
2606.12308v1_Laser-Liquid_Interaction_in_Laser-Induced_Forward_Transfer_(,76,67,0,3,6,0,0,187.64,36.91,82.76,75.61,2804.81,376902,10277,387179,14,0.048017,0.14,0.188017
2606.12619v1_Constraining_the_Low-p_T_ηπ^0_Ratio_for_Direct-Photon_Analys,32,30,0,1,1,0,0,175.24,59.75,116.62,107.8,1912.06,456716,14592,471308,21,0.065849,0.21,0.275849
2606.12627v1_Two_pathways_to_diapycnal_mixing_in_strongly_stratified_flow,52,48,0,1,3,0,0,178.69,39.01,115.31,85.96,2028.61,182744,4588,187332,8,0.025515,0.08,0.105515
2606.12634v1_Keep_Policy_Gradient_in_Charge_Sibling-Guided_Credit_Distill,23,13,0,3,7,0,0,252.47,73.49,111.85,102.57,1690.24,146325,3603,149928,7,0.017049,0.07,0.087049
"2606.12652v1_A_mean_field_approach_to_multiple,_long-delayed_systems",31,20,0,8,3,0,0,147.98,67.72,112.93,94.12,2099.31,879280,23151,902431,48,0.114323,0.48,0.594323
AndyW_Dissertation_Limit,271,235,3,33,0,0,0,502.03,56.56,147.1,115.9,15326.66,2167548,54330,2221878,108,0.273762,1.08,1.353762
